参数,参数键,层级,单位,扰动值,扰动标签,相对基准变化,可控性,解释,第60天价格,第90天价格,第120天价格,第180天价格,外推期最高价,外推期均价,第180天剩余供需缺口,外推期最大供需缺口,二次跳涨幅度,二次跳涨风险,第180天价格相对基准变化
绕道运输能力,route_max_capacity,题面物理缓冲层,万桶/日,237.0,237,0.028111135494219317,中,绕道、替代航线和运输组织恢复形成的额外供给能力。,110.97858871911478,105.49385599778518,100.99041487426669,93.13679996007671,110.73620740351672,100.8099116919105,0.0,0.0,0.0,低,-1.2505552149377763e-12
绕道运输能力,route_max_capacity,题面物理缓冲层,万桶/日,300.0,300,0.3014065006255941,中,绕道、替代航线和运输组织恢复形成的额外供给能力。,110.97858867731466,104.94416251331978,100.75532195873117,93.13679995978852,110.52284613611486,100.55858641859191,0.0,0.0,0.0,低,-2.894466888392344e-10
绕道运输能力,route_max_capacity,题面物理缓冲层,万桶/日,420.0,420,0.8219691008758317,中,绕道、替代航线和运输组织恢复形成的额外供给能力。,111.03224181644859,103.9032797237846,99.81996490732512,93.13680348264353,110.1548846111902,99.91932963045515,0.0,0.0,0.0,低,3.5225655636850206e-06
绕道恢复耗时,route_ramp_days,题面物理缓冲层,天,14.0,14天,-0.46153846153846156,中,绕道运输从启动到达到最大能力所需时间。,111.03224181329588,105.55631775710445,100.99285471281178,93.13681184595677,110.79659457664394,100.83715787953946,0.0,0.0,0.0,低,1.1885878805628636e-05
绕道恢复耗时,route_ramp_days,题面物理缓冲层,天,26.0,26天,0.0,中,绕道运输从启动到达到最大能力所需时间。,110.97858872341435,105.55040229100648,100.99198002655172,93.13679996007797,110.7581537233684,100.83262881368184,0.0,0.0,0.0,低,0.0
绕道恢复耗时,route_ramp_days,题面物理缓冲层,天,42.0,42天,0.6153846153846154,中,绕道运输从启动到达到最大能力所需时间。,110.97858881688919,105.55040229100698,100.99198002655172,93.13679996007797,110.75815374940677,100.8326288143191,0.0,0.0,0.0,低,0.0
绕道恢复耗时,route_ramp_days,题面物理缓冲层,天,60.0,60天,1.3076923076923077,中,绕道运输从启动到达到最大能力所需时间。,110.9209686778803,105.54404973337664,100.99104057441275,93.13678719415108,110.74289167370482,100.82871840240922,0.0,0.0,0.0,低,-1.276592688270739e-05
长期需求弹性,long_elasticity,题面需求层,无量纲,-0.35,-0.35,-0.4286602329556814,低,中长期高价下需求收缩强弱，绝对值越大代表需求越容易下降。,111.03224172506765,105.33501992813459,101.05916725095156,94.58122117576428,110.7239639743592,101.19755551892183,0.0,0.0,0.0,低,1.4444212156863188
长期需求弹性,long_elasticity,题面需求层,无量纲,-0.25,-0.25,-0.020471594968343904,低,中长期高价下需求收缩强弱，绝对值越大代表需求越容易下降。,110.978588709731,105.53527989517353,101.10924883642086,93.21293204427585,110.75314395886693,100.88389654414358,0.0,0.0,0.0,低,0.07613208419788009
长期需求弹性,long_elasticity,题面需求层,无量纲,-0.18,-0.18,0.26526045162279244,低,中长期高价下需求收缩强弱，绝对值越大代表需求越容易下降。,110.92096882799632,104.59601646876258,99.42871985541014,92.17735258824575,110.79048385956187,99.73778691178622,0.0,0.0,0.0,低,-0.9594473718322121
