月份,月末收盘价,月均收盘价,月内最高价,月内最低价,月内交易日数,月度实现波动率,月内最大单日绝对收益,油价月度对数收益,油价月度收益率,GPR_全球综合,GPRT_威胁,GPRA_行动,GPRC_SAU_沙特,GPRC_RUS_俄罗斯,GPRC_USA_美国,GPRC_CHN_中国,数据下载日期,来源URL,GPR_历史标准分,GPR_历史分位数,GPR_全球综合_滞后1月,GPR_全球综合_滞后2月,GPRT_威胁_滞后1月,GPRT_威胁_滞后2月,GPRA_行动_滞后1月,GPRA_行动_滞后2月,GPRC_SAU_沙特_滞后1月,GPRC_SAU_沙特_滞后2月,GPR_历史标准分_滞后1月,GPR_历史标准分_滞后2月,是否冲突窗口月
2021-12-01,77.94,74.80217391304348,80.03,65.72,23,0.0928717390858268,0.0493299116053607,0.10430612917027701,0.10994018798063232,105.34542083740234,155.3102569580078,47.65493392944336,0.1481115818023681,1.7230314016342163,2.478400468826294,0.863984227180481,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.0518374145892408,0.6794354838709677,86.56914520263672,79.02923583984375,121.5009536743164,93.80802917480467,39.74269104003906,61.149112701416016,0.1279317736625671,0.1030604466795921,-0.3433778667156572,-0.502082790833419,False
2022-01-01,89.31,85.14904761904762,90.27,77.04,21,0.06027208173294442,0.0339506172839505,0.13617416378523156,0.1458814472671286,138.67498779296875,199.48751831054688,63.25152969360352,0.2181500941514969,2.777777671813965,3.3158812522888184,0.7950358986854553,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.7533798523091606,0.8810483870967742,105.34542083740234,86.56914520263672,155.3102569580078,121.5009536743164,47.65493392944336,39.74269104003906,0.1481115818023681,0.1279317736625671,0.0518374145892408,-0.3433778667156572,False
2022-02-01,98.12,92.78399999999999,102.26,87.72,20,0.09164912282865012,0.0476786645800729,0.09407775569449396,0.09864516851416427,216.1590118408203,320.6058654785156,105.2183074951172,0.1761804074048996,5.396154403686523,4.87768030166626,1.5000503063201904,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,2.3843140671865077,0.9717741935483872,138.67498779296875,105.34542083740234,199.48751831054688,155.3102569580078,63.25152969360352,47.65493392944336,0.2181500941514969,0.1481115818023681,0.7533798523091606,0.0518374145892408,False
2022-03-01,105.65,110.5695652173913,139.13,94.61,23,0.2790600641089627,0.1309955974356993,0.07394052467177716,0.07674276396249491,318.9549255371094,403.713623046875,250.9558563232422,0.4573904573917389,8.801155090332031,6.899374008178711,2.474723100662231,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,4.54802942473324,0.9879032258064516,216.1590118408203,138.67498779296875,320.6058654785156,199.48751831054688,105.2183074951172,63.25152969360352,0.1761804074048996,0.2181500941514969,2.3843140671865077,0.7533798523091606,False
2022-04-01,106.08,105.55,113.61,97.57,20,0.11435422696665143,0.0561650729743332,0.0040617823754866625,0.004070042593468992,191.14309692382812,221.9105529785156,184.41781616210935,0.128309816122055,4.8291144371032715,3.965939521789551,1.1256269216537476,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,1.8577627934763703,0.9657258064516128,318.9549255371094,216.1590118408203,403.713623046875,320.6058654785156,250.9558563232422,105.2183074951172,0.4573904573917389,0.1761804074048996,4.54802942473324,2.3843140671865077,False
2022-05-01,116.27,110.44454545454545,120.8,101.3,22,0.13084425220841778,0.0703939233350997,0.09172154624296433,0.09605957767722462,142.25848388671875,166.424560546875,140.13734436035156,0.0509309023618698,3.1916699409484863,3.1463980674743652,1.0073001384735107,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.8288076125474113,0.8911290322580645,191.14309692382812,318.9549255371094,221.9105529785156,403.713623046875,184.41781616210935,250.9558563232422,0.128309816122055,0.4573904573917389,1.8577627934763703,4.54802942473324,False
2022-06-01,109.2,115.46363636363635,124.4,104.35,22,0.10208123109470574,0.0455367134372041,-0.06273400936971203,-0.06080674292594812,130.7073211669922,160.72695922851562,114.81468963623048,0.1883682608604431,3.025665283203125,2.878502368927002,0.8535436987876892,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.5856712146548178,0.8387096774193549,142.25848388671875,191.14309692382812,166.424560546875,221.9105529785156,140.13734436035156,184.41781616210935,0.0509309023618698,0.128309816122055,0.8288076125474113,1.8577627934763703,False
2022-07-01,104.0,102.66666666666667,114.75,94.37,21,0.14922808378295563,0.0793288236844417,-0.048790164169432056,-0.04761904761904767,117.17676544189452,141.24293518066406,97.83872985839844,0.4182642102241516,2.6954803466796875,2.5851051807403564,0.8132914900779724,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.3008712633159686,0.7762096774193549,130.7073211669922,142.25848388671875,160.72695922851562,166.424560546875,114.81468963623048,140.13734436035156,0.1883682608604431,0.0509309023618698,0.5856712146548178,0.8288076125474113,False
2022-08-01,94.96,97.02739130434783,104.43,90.95,23,0.12485385519725714,0.0536078271504281,-0.09093514883996014,-0.08692307692307699,132.86322021484375,159.38302612304688,111.15857696533205,0.1243486478924751,2.415916681289673,3.132401704788208,1.2375651597976685,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.6310499822674958,0.8487903225806451,117.17676544189452,130.7073211669922,141.24293518066406,160.72695922851562,97.83872985839844,114.81468963623048,0.4182642102241516,0.1883682608604431,0.3008712633159686,0.5856712146548178,False
2022-09-01,85.57,89.75318181818183,96.99,82.44,22,0.12354667530447758,0.0553581044695745,-0.10412099587144914,-0.09888374052232518,131.98587036132812,170.31179809570312,108.6280746459961,0.1119293048977851,3.0220913887023926,2.927834987640381,1.136966109275818,2026-05-11,https://www.matteoiacoviello.com/gpr_files/data_gpr_export.xls,0.6125829510039595,0.8467741935483871,132.86322021484375,117.17676544189452,159.38302612304688,141.24293518066406,111.15857696533205,97.83872985839844,0.1243486478924751,0.4182642102241516,0.6310499822674958,0.3008712633159686,False
