day_index,trade_date,physical_pressure,recovery_evidence,gap_pressure,spr_depletion_pressure,inventory_depletion_pressure,price_pressure,route_bottleneck_pressure,spr_exhaustion_pressure
81,2026-05-22,0.45566306996698996,0.5851004805150928,0.8123259407547122,0.19999999999999996,0.04090614124796932,1.0,0.007527278949272964,0.0
82,2026-05-23,0.46534887567968897,0.5762278143724562,0.8348456692255205,0.21176470588235297,0.043617748717683535,1.0,0.005696810609151282,0.0
83,2026-05-24,0.47477003642421345,0.5675970006741097,0.8564370807224991,0.22352941176470587,0.04635389143811852,1.0,0.003984264504587776,0.0
84,2026-05-25,0.48393339937887125,0.5592018845474931,0.8771254004553524,0.23529411764705888,0.049113002220658175,1.0,0.0023841620024263044,0.0
85,2026-05-26,0.4928404413265579,0.5510412734783349,0.8969176481885921,0.24705882352941178,0.051893529248068004,1.0,0.0008921303607175579,0.0
86,2026-05-27,0.5015556021638506,0.5430327158082139,0.915898326989999,0.2588235294117647,0.05469404220145935,1.0,0.0,0.0
87,2026-05-28,0.5103150903234093,0.534942416728988,0.9347833120005705,0.2705882352941177,0.05750380532517929,1.0,0.0,0.0
88,2026-05-29,0.5190239143848294,0.5268993819808437,0.9535010787225984,0.2823529411764706,0.06031079838459141,1.0,0.0,0.0
89,2026-05-30,0.5275764260869219,0.5190021634175115,0.9717034555389038,0.2941176470588235,0.06310837262394242,1.0,0.0,0.0
90,2026-05-31,0.535989401982555,0.5112350489614723,0.9894504114055208,0.3058823529411765,0.06588978285466573,1.0,0.0,0.0
91,2026-06-01,0.5422993143093893,0.5053965103592679,1.0,0.3176470588235294,0.06864876523902663,1.0,0.0007522953148501044,0.0
92,2026-06-02,0.5455081757452769,0.5024130513665974,1.0,0.3294117647058824,0.07137986884316383,1.0,0.0023651389776657705,0.0
93,2026-06-03,0.5487371900544649,0.4993958176978236,1.0,0.3411764705882353,0.07407874184591112,1.0,0.004302412409863732,0.0
94,2026-06-04,0.5519793413531934,0.4963550147956195,1.0,0.3529411764705882,0.07674248985666576,1.0,0.006482929443302532,0.0
95,2026-06-05,0.5552269612820141,0.49330199639744576,1.0,0.3647058823529412,0.07936976013258645,1.0,0.008813879256268198,0.0
96,2026-06-06,0.558374757706425,0.4903966503181113,1.0,0.3764705882352941,0.08197827642873301,1.0,0.009939231718605113,0.0
97,2026-06-07,0.5614651350435532,0.4875764522238657,1.0,0.388235294117647,0.0845778777627404,1.0,0.010366904254720644,0.0
98,2026-06-08,0.5645556124028791,0.48475509617590784,1.0,0.4,0.08716831618387644,1.0,0.010816443622266192,0.0
99,2026-06-09,0.5676457429809191,0.48193323353625084,1.0,0.4117647058823529,0.08974942039021605,1.0,0.011282650207033007,0.0
100,2026-06-10,0.5707351565630694,0.4791114078152868,1.0,0.42352941176470593,0.09232108300435582,1.0,0.011761137925625609,0.0
101,2026-06-11,0.5738235515583466,0.47629006536010987,1.0,0.43529411764705883,0.09488324912283852,1.0,0.01224826042353555,0.0
102,2026-06-12,0.5769106850064987,0.47346956926713724,1.0,0.44705882352941173,0.09743590652783396,1.0,0.012741008187725167,0.0
103,2026-06-13,0.5799963625890301,0.47065021347376446,1.0,0.45882352941176474,0.09997907757982138,1.0,0.013236901925926081,0.0
