day_index,trade_date,p05,p10,p25,p50,p75,p90,p95
114,2026-06-24,96.4885377689237,97.62475742214818,99.74075356808932,102.34819963658228,106.45475403765684,111.64774057177566,114.5488226014112
115,2026-06-25,96.27163136554601,97.38426743513998,99.5224543534658,102.2291939865302,106.1325136524625,111.19090483349788,114.25670025053284
116,2026-06-26,96.00937819017805,97.16738021735182,99.2564007739519,102.01471748679552,106.0113627075081,111.16665654875109,113.73894180675543
117,2026-06-27,96.05987920863807,97.1072134981511,99.0688776422096,101.8128128393238,105.73532590385058,110.87336106922662,113.46735577677813
118,2026-06-28,96.06297874406883,96.99313885898766,99.03389650401016,101.6917493060431,105.55475346944432,110.96506992536712,113.39307594961556
119,2026-06-29,95.81936718585348,96.93319865787484,98.92588928460052,101.42225011070309,105.3541744985521,110.26864243525918,113.48826915830296
120,2026-06-30,95.4054193766198,96.74252738231601,98.66614597613575,101.15303393138711,104.83844386075715,109.74072240166466,112.9049937706253
121,2026-07-01,95.29623959228945,96.51720005748724,98.35952415150646,100.8930126495008,104.42515107253092,109.28383047785688,112.3827396753135
122,2026-07-02,94.98582433361379,96.14587433536552,97.9403870805585,100.45785671384039,103.83786078620315,108.6211523426321,111.93744376056765
123,2026-07-03,94.82685267392456,95.80495779067923,97.62547597512841,100.07722969367362,103.407690915829,107.982555851482,111.34394875418015
124,2026-07-04,94.58444098488103,95.6368728098337,97.43467050677424,99.72024695471228,102.88643078085438,107.43304188233881,111.00013129309328
125,2026-07-05,94.33951459271846,95.40797308037398,97.24829147610728,99.4634883389907,102.39104960621104,107.05290106304813,109.91384078706534
126,2026-07-06,94.16778832018117,95.06355760383119,96.94026816150526,99.23915114252681,101.97744312196649,106.11627537860653,110.12005703110216
127,2026-07-07,93.94789400314914,94.95012037129875,96.72835275841241,98.94546353491263,101.63465423457694,105.70148693757349,109.17945224044453
128,2026-07-08,93.62223009754021,94.7050351035819,96.51389368047751,98.74091652105406,101.41306070592263,105.4969366502291,108.98056258749085
129,2026-07-09,93.37860589398085,94.48787612595052,96.38913694957414,98.48588400376445,101.05330915041179,104.98057620107181,108.13454422532246
130,2026-07-10,93.37988729809922,94.42770379116291,96.23702594943431,98.19835240303959,100.90057441258486,104.47714613426471,107.67957467518907
131,2026-07-11,93.37387545400871,94.30145664752888,95.90160227859027,97.96471885405762,100.5264473815898,104.0480782678879,107.320711486235
132,2026-07-12,93.13016018936675,94.08740263329253,95.68011184144915,97.80809443532993,100.33758780039757,103.94764711602546,107.17252579796228
133,2026-07-13,92.90345396795777,93.85683157471952,95.57934740684824,97.59530543346652,100.03385100041126,103.71800002446007,107.0688038709114
134,2026-07-14,92.68184346961318,93.75304268114539,95.41594250444855,97.41264763383488,99.90309736514541,103.26535056509246,106.78223228745536
135,2026-07-15,92.66006913199855,93.64871011101867,95.28315005177606,97.24585374492403,99.81247167881764,103.08839376163918,106.39598559834323
136,2026-07-16,92.41007047001783,93.40566501751253,94.95023321010648,97.09620108618094,99.42020073544192,102.76785253115378,105.9437829753231
137,2026-07-17,92.17575142743699,93.15134739120725,94.83714525713904,96.87579316969078,99.27514562539386,102.29282339863099,105.70891930146473
138,2026-07-18,92.223923964036,93.15617166644738,94.79675473968705,96.75423093866442,99.19861830422138,102.30895388767861,105.74655705834432
139,2026-07-19,92.02495591660305,93.02990920499451,94.61896057398829,96.67527812911528,98.94679504772873,102.34159271343674,105.92964651346009
140,2026-07-20,92.00356693662337,92.9459625725965,94.55116408992154,96.38939179489275,98.824943002558,102.4547551767659,105.68765679200871
141,2026-07-21,91.79138189296422,92.86374418121432,94.32996711807769,96.28490185574668,98.68689633550055,102.4238651735738,105.48662236440262
142,2026-07-22,91.62433822386016,92.57436071575329,94.22089559129282,96.12492794026986,98.62678581649675,102.21243324780852,105.85805653576996
143,2026-07-23,91.45464171710849,92.42447225945548,94.10625504478068,96.09579596491064,98.47349386493627,101.89249666072307,105.59355620517978
144,2026-07-24,91.43612688025553,92.30469621094714,93.84111337724137,95.84183896430247,98.44295403858568,101.70928014360217,105.12025318647031
145,2026-07-25,91.2983137883018,92.17006467975517,93.75495323366111,95.76962881119788,98.28555071078554,101.58226717727908,104.84105585843521
146,2026-07-26,91.0720623992765,92.03598150283354,93.64078446322586,95.62512679362533,98.06236721499494,101.55372561777301,105.00181894118195
147,2026-07-27,90.79453071630228,91.88626350301743,93.52835462532678,95.5082781086766,97.87113264267481,101.56191931194205,105.34315044030207
148,2026-07-28,90.70463311133375,91.76525822087639,93.43825590666157,95.43021587159257,97.83621838442798,101.56275055834905,105.31605843454693
149,2026-07-29,90.56884199313373,91.63771621563878,93.28655920310746,95.3068311917746,97.66791253174344,101.2455678070869,104.70713741438027
150,2026-07-30,90.51059930124234,91.47776044566051,93.09565982005495,95.01740503538076,97.48914030046919,101.07076179747077,104.16764337744006
151,2026-07-31,90.52299354563317,91.41706073744345,92.96913706809485,94.80347595059655,97.30177330622641,100.69354115076945,103.99533608824758
152,2026-08-01,90.29991304695326,91.18506615432945,92.72626022604442,94.70813588909678,96.9154053526452,100.41760276389765,103.52912020666025
153,2026-08-02,90.20044451948037,91.08482450288949,92.62928343736205,94.58543773362643,96.67360238483697,99.89134517073201,103.34665277899337
154,2026-08-03,90.1791706890399,90.9508608031532,92.52566129009267,94.40935958091674,96.53019018832461,99.77592172667259,102.94468180557345
155,2026-08-04,90.02420766746404,90.84789842768312,92.40956395828871,94.27133952664207,96.35691571364184,99.489025844858,102.36867734720025
156,2026-08-05,89.83142502704146,90.69024619259775,92.24996925279734,94.08566037988653,96.24183877988584,99.14012120339854,102.34253486309099
157,2026-08-06,89.7330074880311,90.56798294398685,92.04997409796053,93.88122029546771,96.06338730907078,99.14092499611478,101.85638191363675
158,2026-08-07,89.38465498952607,90.26501717319545,91.95841272007696,93.74225798415341,96.00163111997,98.68077412164334,101.43536307651016
159,2026-08-08,89.34325708333627,90.25908563119762,91.74713966071641,93.60317556952057,95.73628293821106,98.58432475868533,101.35682816884926
160,2026-08-09,89.27195830229324,90.08673182641832,91.62801317155015,93.51249308259091,95.57029843231297,98.56188642532568,101.21238178081154
161,2026-08-10,89.22941295614604,90.0071660347027,91.54700515609828,93.3295599718127,95.5439934622746,98.52791267443283,101.26720308178865
162,2026-08-11,89.03356504756478,89.88039610611314,91.49133803589936,93.25383631539084,95.41792199516664,98.22896788273448,101.44098369921142
163,2026-08-12,88.92604500131432,89.85584100575826,91.31965982707024,93.12710270504135,95.30979555153694,97.9621989640186,100.9891643329028
164,2026-08-13,88.82504017467667,89.67208744447028,91.20641940748271,93.08662467950411,95.17758705345399,97.90558011465228,100.8563506087938
