窗口起始,窗口终止,日收益波动率,实现波动率_46日,最大单日绝对收益,平均绝对日收益,累计收益率,价格区间比例,朴素上一日基准_RMSE
2021-09-03,2021-11-05,0.013029313070572037,0.08836910069806668,0.03275811127126275,0.011096554837301412,0.13893487858719644,0.19384657836644587,1.0510046953107377
2021-09-06,2021-11-08,0.013063645753590201,0.08860195628350191,0.03275811127126275,0.011281870670782642,0.160610263522885,0.19486823855755891,1.0628039207271691
2021-09-07,2021-11-09,0.013126768333554263,0.08903007445020439,0.03275811127126275,0.011505522478517006,0.19110862575143295,0.19642108206346984,1.0847299804259036
2021-09-08,2021-11-10,0.013894029153413995,0.09423389051361633,0.03275811127126275,0.011813654443014505,0.1384530690889072,0.19336636388659506,1.141613084535478
2021-09-09,2021-11-11,0.013550715904055462,0.09190542676888779,0.03275811127126275,0.0114370804905402,0.15790948577833808,0.19686142636962303,1.1294515791149335
2021-09-10,2021-11-12,0.013358946902003545,0.09060478611643706,0.03275811127126275,0.011136810660222991,0.12337217272104173,0.17093899931459902,1.1179600988446305
2021-09-13,2021-11-15,0.013314386459991674,0.09030256249451862,0.03275811127126275,0.01097813468305255,0.11537939459752944,0.16329577847156238,1.0939000828706194
2021-09-14,2021-11-16,0.013476417775644,0.09140151234487263,0.03275811127126275,0.011167010317423749,0.0987687728318225,0.16276552563929106,1.097899179658885
2021-09-15,2021-11-17,0.013925962672611482,0.09445047417833614,0.03275811127126275,0.011432545277091938,0.05975137013768217,0.16080737869268816,1.1336253886267416
2021-09-16,2021-11-18,0.014003700116177005,0.0949777151726421,0.03275811127126275,0.01165667622273123,0.07049399198931905,0.16061415220293726,1.1336253886267413
2021-09-17,2021-11-19,0.014586870526326777,0.09893296933067236,0.03275811127126275,0.012169183581074309,0.04608788853161849,0.1611736334405145,1.1750744657254708
2021-09-20,2021-11-22,0.01439715986617212,0.09764628903218694,0.03275811127126275,0.01202603726473819,0.07507834854884865,0.1639187900258891,1.187243793871738
2021-09-21,2021-11-23,0.014916135316162581,0.10116615178716318,0.03275811127126275,0.012520517026596642,0.09926868905742148,0.15682556879739976,1.2214843073259185
2021-09-22,2021-11-24,0.014767968207047079,0.10016123356049611,0.03275811127126275,0.01219998690904845,0.07899293992273893,0.13787132010123898,1.1997318540987114
2021-09-23,2021-11-25,0.01455129025827452,0.0986916522118539,0.03275811127126275,0.0117948635445418,0.05897737674905201,0.11703936184124497,1.1980591188142238
2021-09-24,2021-11-26,0.023031625100350096,0.15620808147820497,0.12031773454983667,0.014257458757324907,-0.06994818652849744,0.1764248704663213,1.7957576819197842
2021-09-27,2021-11-29,0.02306730660618528,0.15645008522507398,0.12031773454983667,0.014296935031187036,-0.06829454406714985,0.17321632964517367,1.8054085410233343
2021-09-28,2021-11-30,0.0237594969015503,0.1611447482193565,0.12031773454983667,0.014896992431311255,-0.09311636316673133,0.1963063412114168,1.8482288819299424
2021-09-29,2021-12-01,0.02384460893077382,0.1617220060870838,0.12031773454983667,0.015171324857388955,-0.11501925545571257,0.21155327342747116,1.8493953183346892
2021-09-30,2021-12-02,0.024089694072689516,0.16338425439351717,0.12031773454983667,0.015528277880735056,-0.10068912710566613,0.2103113833588566,1.8618136319191578
2021-10-01,2021-12-03,0.024005097749764524,0.16281049421608085,0.12031773454983667,0.015384415966799255,-0.11484098939929321,0.2079757698132257,1.8671682814637658
2021-10-04,2021-12-06,0.024820261554426837,0.16833920412960052,0.12031773454983667,0.015892328368755593,-0.09437676879537349,0.2027808539436447,1.9659194109715652
2021-10-05,2021-12-07,0.024964667152552345,0.16931861054749828,0.12031773454983667,0.016058663460636335,-0.08757267441860472,0.19961240310077524,2.0295110784105885
2021-10-06,2021-12-08,0.024837143759509708,0.16845370481531532,0.12031773454983667,0.01576435864730388,-0.060621056538413876,0.20388469627613515,1.9432519807965125
2021-10-07,2021-12-09,0.024870049185495267,0.1686768802725847,0.12031773454983667,0.01588444727069979,-0.1026915615906886,0.1998060135790495,2.0165721022265153
2021-10-08,2021-12-10,0.02502749203451999,0.16974470962815374,0.12031773454983667,0.016232663917095918,-0.08852022281424077,0.19956405909421174,2.0079813570934335
2021-10-11,2021-12-13,0.02496554826058041,0.1693245865128954,0.12031773454983667,0.01621821011607412,-0.11196080774286066,0.1969171944079341,1.914280430140108
2021-10-12,2021-12-14,0.025036708408300717,0.16980721811638247,0.12031773454983667,0.01647925258990501,-0.12233149436315649,0.19764931638282568,1.9146636666845023
2021-10-13,2021-12-15,0.025167475260711357,0.17069412206028606,0.12031773454983667,0.016802149237188223,-0.10927192035504374,0.19767302386949745,1.9207301600761342
2021-10-14,2021-12-16,0.025131436177178595,0.17044969310347746,0.12031773454983667,0.016696994290965668,-0.11347686451766381,0.1960271202569288,1.9211420969105184
2021-10-15,2021-12-17,0.025227945359908927,0.1711042502271563,0.12031773454983667,0.016980090836844305,-0.14213377296278862,0.19406500235515783,1.9342934897134485
2021-10-18,2021-12-20,0.025227220112657118,0.1710993313609752,0.12031773454983667,0.016976841293381926,-0.14200831847890671,0.19584076054664293,1.9326069350018888
2021-10-19,2021-12-21,0.025461970988703037,0.17269148926614633,0.12031773454983667,0.01725553582746293,-0.13118027011156785,0.1935408103347035,1.9470384422635774
2021-10-20,2021-12-22,0.02572336263328216,0.17446433365451375,0.12031773454983667,0.01772451962958316,-0.11264961276695606,0.19338183524994138,1.9564480904012729
2021-10-21,2021-12-23,0.025760366946462613,0.1747153091173025,0.12031773454983667,0.017695827530554424,-0.09046600095102231,0.19591060389919165,1.960816710942929
2021-10-22,2021-12-24,0.02575392911148165,0.17467164559608467,0.12031773454983667,0.017783124028344772,-0.10871359509491807,0.19431670793538502,1.9588000985519072
2021-10-25,2021-12-27,0.026468293575306303,0.17951670111796184,0.12031773454983667,0.018562375626350283,-0.07690501350240686,0.19349536221674302,2.0065225163689684
2021-10-26,2021-12-28,0.0264668126841334,0.1795066572253581,0.12031773454983667,0.018553701082190555,-0.07726527745258727,0.19292905642706631,2.0060370840562
2021-10-27,2021-12-29,0.026293235434902824,0.17832939904351316,0.12031773454983667,0.01815538760434638,-0.05149700598802387,0.19473053892215575,2.006480804142245
2021-10-28,2021-12-30,0.02627803659565935,0.17822631550040346,0.12031773454983667,0.018066029409829737,-0.05673420738974977,0.19380214541120386,1.9864300510780872
2021-10-29,2021-12-31,0.02635534601702562,0.17875065350691396,0.12031773454983667,0.01830734877297128,-0.06692206392912725,0.19466060098168328,1.9934217904855493
2021-11-01,2022-01-03,0.026358036809469826,0.1787689033491867,0.12031773454983667,0.018312491796206972,-0.06670609107037262,0.19231224127735075,1.9978009649742836
