窗口编号,窗口起始,窗口终止,交易日数,累计收益率,窗口最高收盘价,窗口最低收盘价,价格区间比例,实现波动率,平均绝对日收益率,最大单日上涨,最大单日下跌,最大单日绝对收益,是否冲突窗口,朴素上一日基准_RMSE,朴素上一日基准_MAE,朴素上一日基准_MAPE,三日均值基准_RMSE,三日均值基准_MAE,三日均值基准_MAPE,漂移随机游走基准_RMSE,漂移随机游走基准_MAE,漂移随机游走基准_MAPE,实现波动率_历史标准分,平均绝对日收益率_历史标准分,最大单日绝对收益_历史标准分,价格区间比例_历史标准分,朴素上一日基准_RMSE_历史标准分,历史压力综合分
360,2019-01-25,2019-03-29,46,0.10375816993464038,68.07,59.95,0.12456812027266767,0.0797973052739896,0.008970376105532111,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7669405622908174,0.5767391304347814,0.8946929479045377,0.9101806106270061,0.6760144927536219,1.0416151160608416,0.83940233799064,0.664028985507245,1.0297868641466414,-0.8639702542397449,-0.9552992539977496,-0.779157356202536,-0.6018101428665515,-0.9549224444550535,-0.834257191971738
361,2019-01-28,2019-04-01,46,0.12565104166666674,69.16,59.95,0.14092687210601937,0.08254951409276147,0.009403259328656911,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.8020571377239353,0.6065217391304337,0.9368083875278436,0.9517289441284129,0.7156159420289842,1.0991994362291486,0.8454390692455378,0.6800507246376798,1.0499344077798867,-0.8266315517598546,-0.8982440988228346,-0.779157356202536,-0.47298853738548663,-0.9095723250471829,-0.7843761035065935
362,2019-01-29,2019-04-02,46,0.16046705587989973,69.57,61.16,0.12827518518764128,0.07790840015068856,0.009004932810412094,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7737486391081655,0.5830434782608684,0.8955894740387385,0.9747124250742879,0.7398188405797089,1.1309011577235455,0.8211044836484764,0.6618079710144914,1.0189220889479844,-0.8895966768900255,-0.9507445887810458,-0.779157356202536,-0.5726178145743762,-0.9461303827919587,-0.8359903901080232
363,2019-01-30,2019-04-03,46,0.13669064748201443,69.57,61.22,0.1270079557704134,0.0761286336004509,0.008581785296299103,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7529362811541627,0.5578260869565207,0.8541439193202579,0.9531814260243805,0.7145652173913032,1.0865396613294318,0.7915364942560319,0.6289347826086945,0.96301541123818,-0.9137424369245563,-1.0065165517259713,-0.779157356202536,-0.5825969700565999,-0.973007801980256,-0.8608491628380749
364,2019-01-31,2019-04-04,46,0.12406746675316271,69.57,61.22,0.12668748989897316,0.07614410478637461,0.008469729546392598,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7499579698368024,0.5515217391304337,0.843102356418343,0.9490401965596544,0.7094202898550711,1.0779087716140363,0.7958343451697029,0.634873188405796,0.9700228012591304,-0.9135325422376864,-1.0212857963111648,-0.779157356202536,-0.5851205689522476,-0.9768540418886248,-0.865038090254696
365,2019-02-01,2019-04-05,46,0.15125775890231963,70.48,61.58,0.13462101258413822,0.0767652431435718,0.008681572468434285,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7668030754514085,0.567391304347825,0.863565965770456,0.9638549813746728,0.723768115942028,1.0965295464829046,0.81278264240341,0.6369094202898539,0.9702050519850798,-0.9051056742761983,-0.9933643381808477,-0.779157356202536,-0.5226458068289068,-0.9550999972063484,-0.8439040570414271
366,2019-02-04,2019-04-08,46,0.16138516824567128,71.1,61.58,0.14361187539557865,0.07308605222151521,0.008276242237546735,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7684399781375245,0.5773913043478249,0.8770598057727634,0.9766492306896907,0.7415217391304354,1.119525582270069,0.7918662387654983,0.6229855072463756,0.9479341702947514,-0.9550205696389296,-1.0467879360126953,-0.779157356202536,-0.4518447216465752,-0.9529860743263736,-0.8612011995775735
367,2019-02-05,2019-04-09,46,0.15697484482195367,71.1,61.58,0.14323562312336863,0.07326512143540757,0.008331146764917186,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7366773230260781,0.5523913043478248,0.8362781372200572,0.9593404600857225,0.732499999999999,1.103110018860845,0.7681818883879922,0.6137210144927522,0.930860195832508,-0.9525911710935756,-1.0395513739063755,-0.779157356202536,-0.4548076262902642,-0.994004886219308,-0.8624425868319685
368,2019-02-06,2019-04-10,46,0.16906239790917987,71.57,61.58,0.14984348506586664,0.07226874304390007,0.008312568882185144,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7560581413115509,0.5684782608695638,0.8585362443686406,0.9677777535122588,0.7380797101449265,1.1084196523954568,0.7562561102879267,0.6053043478260858,0.9148336616319984,-0.9661088504441169,-1.041999988048653,-0.779157356202536,-0.40277215360252827,-0.9689761807539244,-0.8570279395510199
369,2019-02-07,2019-04-11,46,0.15942502450179696,71.57,61.58,0.14943272535712768,0.07301289825505006,0.008337774796892872,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7272431565134532,0.5434782608695636,0.8159318956682735,0.9501802524138735,0.7171014492753613,1.074112336675032,0.7338480361882764,0.5889891304347812,0.8848934561635319,-0.956013035824793,-1.0386777817395385,-0.779157356202536,-0.40600679678837376,-1.006188323031822,-0.8564944636506158
370,2019-02-08,2019-04-12,46,0.16873570728520093,71.57,61.58,0.14895465300962682,0.07118417507998932,0.00820998258397277,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7360337303234897,0.5558695652173896,0.8331744101424227,0.9564211231117287,0.7240217391304349,1.0831539708740738,0.7237816566295581,0.5775579710144908,0.8656875066443618,-0.9808229812351644,-1.0555211338234332,-0.779157356202536,-0.4097715123344341,-0.994836032353361,-0.8681702219151621
371,2019-02-11,2019-04-15,46,0.1335453100158983,71.57,61.58,0.14850554060036897,0.07147614324178657,0.008183729844318732,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7519626493962018,0.5652173913043461,0.8473178601401417,0.949781312230768,0.7166666666666657,1.071780904569096,0.7726966675847744,0.618014492753621,0.927776769514075,-0.976861903771641,-1.0589813144326872,-0.779157356202536,-0.41330817467832465,-0.9742651659440889,-0.8666533171353363
372,2019-02-12,2019-04-16,46,0.1669373173108153,71.86,62.61,0.13704983718286085,0.07099044391564929,0.008217659620162477,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7310177539032399,0.5486956521739114,0.8176600333619172,0.952724322805764,0.7208333333333335,1.0749170561976014,0.7335907128209814,0.5811557971014472,0.8667348232912564,-0.9834512957209828,-1.0545092801232012,-0.779157356202536,-0.5035193424490603,-1.001313746276196,-0.8842863075947354
373,2019-02-13,2019-04-17,46,0.1442261619549592,71.86,63.6,0.12202688728024814,0.06998152437312528,0.007920600895822236,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7158045033083547,0.5310869565217374,0.7885727810734939,0.9049966303617826,0.6777173913043469,1.0065578493527148,0.7362362126855504,0.5891521739130416,0.8765643984146896,-0.9971391185226194,-1.0936624066660805,-0.779157356202536,-0.6218217988486119,-1.0209603867173722,-0.9185632855207724
374,2019-02-14,2019-04-18,46,0.12358490566037728,71.86,64.56,0.10757303946693998,0.0689713452348512,0.007631478987872037,0.0283457249070631,-0.0316229116945108,0.0316229116945108,False,0.7012659360353081,0.5134782608695636,0.7602094200991645,0.8471825998495961,0.6378260869565213,0.9442647719292226,0.7651871219000856,0.5959891304347805,0.8849819567600811,-1.010844030024298,-1.1317694397903701,-0.779157356202536,-0.7356427003243111,-1.0397357300906962,-0.9518079168571169
375,2019-02-15,2019-04-22,46,0.14079925650557623,73.65,64.92,0.1282720422654431,0.07322400209540975,0.007969569768535604,0.0306465155331656,-0.0316229116945108,0.0316229116945108,False,0.7589480706300288,0.5402173913043464,0.7925253890992724,0.8403356889055168,0.6363405797101451,0.9347098694032255,0.7875122420641881,0.5932898550724618,0.8732926741210244,-0.9531490294914836,-1.0872081795624433,-0.779157356202536,-0.5726425644017223,-0.9652440788032975,-0.8906114603813077
376,2019-02-18,2019-04-23,46,0.1105588190992619,73.73,64.92,0.12914471818306392,0.06870102223986288,0.007376971805371043,0.0306465155331656,-0.0316229116945108,0.0316229116945108,False,0.7094639740217838,0.5021739130434769,0.7349615799321099,0.8066519941173682,0.5953623188405798,0.8682133044190419,0.7254089318153497,0.5386014492753608,0.7898489263007547,-1.014511451556595,-1.165314160433282,-0.779157356202536,-0.5657704317403918,-1.0291486498583136,-0.933005695309733
377,2019-02-19,2019-04-24,46,0.109706546275395,73.74,64.92,0.12899164472931202,0.0687205956278292,0.00736027353225174,0.0306465155331656,-0.0316229116945108,0.0316229116945108,False,0.7094103491479812,0.5010869565217375,0.7332934866084306,0.8145322596020157,0.6101449275362315,0.8879027306177625,0.7325105582823822,0.5521557971014472,0.8086578507427368,-1.0142459030615778,-1.1675150370509935,-0.779157356202536,-0.5669758518280447,-1.029217901896708,-0.9336473375566744
378,2019-02-20,2019-04-25,46,0.10756732360463372,73.74,64.92,0.12869908357573576,0.0688021399988147,0.007389107469668304,0.0306465155331656,-0.0316229116945108,0.0316229116945108,False,0.7096248243292702,0.5032608695652157,0.7361828436335743,0.8131916973967306,0.608514492753623,0.8852205457921685,0.7398499590839488,0.5590760869565202,0.8176493324013242,-1.0131396058262918,-1.1637146477410767,-0.779157356202536,-0.5692797071520339,-1.0289409251425252,-0.9327276877185064
