方案,buffer_lag_days,relief_lag_days,buffer_alpha,relief_alpha,risk_alpha,RMSE,MAE,平均误差,最大绝对误差,峰值误差,末日误差,初始冲击吸收_RMSE,初始冲击吸收_MAE,高位平台形成_RMSE,高位平台形成_MAE,中期再定价回落_RMSE,中期再定价回落_MAE,后期二次抬升_RMSE,后期二次抬升_MAE,优化目标
buffer_lag1_relief_lag0_ba1.0_ra0.55,1,0,1.0,0.55,1.0,3.522959159252517,2.9246975334992924,0.016623511428106065,6.921639941519572,-4.000501247373933,-0.25050124737393276,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,3.923463588757377,3.42589322689676,2.6377420046115856,2.193497371501401,4.6548105781232065
buffer_lag1_relief_lag1_ba0.75_ra1.0,1,1,0.75,1.0,1.0,3.534377395486643,2.936978108301577,0.01639403262756243,7.167771525966984,-3.9877494256104598,-0.23774942561045975,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,3.7960333287608155,3.392697853222046,2.601456981674659,2.147131336447624,4.6552309074461835
buffer_lag1_relief_lag0_ba0.75_ra0.75,1,0,0.75,0.75,1.0,3.540132840325266,2.842947974470697,0.0077201409315661535,7.500693667288189,-3.873166508618681,-0.12316650861868084,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,3.8220543801393725,3.183284610351585,2.593343292086571,1.9960957329663802,4.6604614167109295
buffer_lag0_relief_lag1_ba0.55_ra0.75,0,1,0.55,0.75,1.0,3.5431784435931934,2.9869696289413525,0.020858968514152226,6.525999628276523,-4.068119170280866,-0.3181191702808661,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,4.002908720314544,3.575588839584867,2.794356696203801,2.35658417280912,4.684423229774352
buffer_lag1_relief_lag0_ba0.75_ra1.0,1,0,0.75,1.0,1.0,3.579513785275329,2.872011919652556,0.004137452091253534,8.151459040016476,-3.8005441480749766,-0.05054414807497665,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,3.881144076193432,3.1553972396089924,2.7101722615331827,2.1353948935727645,4.708029182844619
buffer_lag1_relief_lag0_ba0.75_ra0.55,1,0,0.75,0.55,1.0,3.572211625389037,2.9521542901701054,0.017755415767145538,7.167771525966984,-4.019928966510719,-0.26992896651071874,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,3.90089257062239,3.39223820426256,2.644080530274009,2.2057663492364696,4.7156459627659055
buffer_lag1_relief_lag1_ba0.55_ra1.0,1,1,0.55,1.0,1.0,3.592640410368939,2.9733859615163887,0.018745075658421415,7.800324946016104,-4.015328074522515,-0.2653280745225146,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,3.747424135176517,3.333890299787697,2.623971185571708,2.1805108775476505,4.723065017025405
buffer_lag1_relief_lag1_ba1.0_ra0.75,1,1,1.0,0.75,1.0,3.5840304106938596,3.0092170353004914,0.020890033105211574,6.921639941519572,-4.071805317744463,-0.3218053177444631,3.3168007915845203,2.951406097994982,4.182920484381463,3.374055412047727,4.025800594498961,3.5907404186985707,2.794274715454497,2.3526416032708526,4.739914434231392
buffer_lag1_relief_lag0_ba0.55_ra0.75,1,0,0.55,0.75,1.0,3.6072498912453703,2.8782961656796355,0.011193000979066942,7.800324946016104,-3.9007341171301135,-0.15073411713011353,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,3.8231597417780114,3.155448362064552,2.591346667123416,1.99444193122991,4.747091921352515
buffer_lag0_relief_lag0_ba1.0_ra0.4,0,0,1.0,0.4,1.0,3.5707387122016936,3.0237677238351117,0.034374841191875796,6.884708528029876,-4.2766273562521775,-0.5266273562521775,3.3168007915845203,2.951406097994982,3.7296250092539993,2.991817890517953,4.304639821386328,3.8565251437547836,2.899723947199641,2.493018912332971,4.756368045031888
buffer_lag0_relief_lag0_ba0.75_ra0.4,0,0,0.75,0.4,1.0,3.5947925636131033,3.0404919749991057,0.03592943588585237,6.790362233932981,-4.29278991464686,-0.5427899146468604,3.3168007915845203,2.951406097994982,3.85761450586944,3.1062189331362773,4.272398350132734,3.8055636896411564,2.9078308596202893,2.5032223735084513,4.785020889841549
buffer_lag1_relief_lag0_ba0.55_ra0.55,1,0,0.55,0.55,1.0,3.632656020728665,2.9849952754939455,0.020197119462046633,7.800324946016104,-4.0475262410415525,-0.29752624104155245,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,3.8710834281943973,3.3344269021838975,2.6554541361759556,2.2244766453987523,4.789422394314658
buffer_lag1_relief_lag1_ba0.75_ra0.75,1,1,0.75,0.75,1.0,3.627893895335878,3.037031114470993,0.02258648749026672,7.167771525966984,-4.0912260444434025,-0.34122604444340254,3.3168007915845203,2.951406097994982,4.371992186585683,3.5122048071065395,3.979785771648287,3.5585095252968935,2.8118113527922577,2.3648561880222077,4.79067172681456
buffer_lag1_relief_lag0_ba0.55_ra1.0,1,0,0.55,1.0,1.0,3.6498962118695193,2.905037021237899,0.007617892876206897,8.361932719551334,-3.8281072032088588,-0.07810720320885878,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,3.904121381881835,3.1275656657832323,2.697377383823184,2.1248312404845726,4.8022992243013665
buffer_lag2_relief_lag1_ba1.0_ra1.0,2,1,1.0,1.0,1.0,3.6693493004365156,3.035219690552252,0.018347893775216336,8.527474763110177,-4.030618596015927,-0.28061859601592687,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,3.7507722310391602,3.33906390210689,2.626190868437419,2.1854540993550926,4.820621230229714
buffer_lag0_relief_lag0_ba0.55_ra0.4,0,0,0.55,0.4,1.0,3.6334954381616344,3.0769847086630726,0.03861385979421968,6.623801326110453,-4.31815667613931,-0.56815667613931,3.3168007915845203,2.951406097994982,4.059463545052584,3.2932488140827085,4.215013736445579,3.754950680901892,2.9240451373094474,2.522280137092024,4.829663102861923
buffer_lag1_relief_lag1_ba0.55_ra0.75,1,1,0.55,0.75,1.0,3.680885918217704,3.0701584053742628,0.02578568100548565,7.800324946016104,-4.118811515024092,-0.3688115150240918,3.3168007915845203,2.951406097994982,4.595917198687955,3.6921954794604672,3.9138923797243867,3.501905122669053,2.8408285703822065,2.383457089454813,4.849778345808823
buffer_lag2_relief_lag0_ba1.0_ra0.75,2,0,1.0,0.75,1.0,3.686996488039591,2.940180203732556,0.010803242279955636,8.527474763110177,-3.916023855955288,-0.166023855955288,3.3168007915845203,2.951406097994982,4.838581922307113,3.939736356381387,3.8417054208480064,3.1612606858804355,2.5892294324376173,1.998939282772709,4.850725318791526
