day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,pre_close_filled,target_close_price,ridge_predicted_return,ridge_price,ridge_return_correction,risk_ridge_assist_phase,risk_phase_gated_correction,mechanism_plus_risk_phase_ridge,风险Ridge方案
24,18,calendar,2026-03-26,100.1,100.9556386414278,9254.08973509206,9234.281356328986,707.2408254256843,0.0,700.0,27.049204188757585,0.0,727.0492041887576,1.0280079685037282,0.0290392922026992,52978.84140653793,430.0,-0.1074720291482073,1.0096478314143125,0.0,19.048516486928417,15.951315387940422,0.3178429820288149,7.120869372355286,0.0,36003,98.06,100.1,0.0004457409969834125,98.10371910513908,0.04371910513907551,高位平台形成,0.04371910513907551,100.99935774656687,仅历史价格特征
25,19,calendar,2026-03-27,106.29,101.46111195634238,9267.614337186438,9223.103988868726,696.0634579654252,0.0,700.0,40.57380628313638,0.0,740.5738062831364,1.0639458196064675,0.0359378511027395,52978.84140653793,430.0,-0.1098666970293826,1.0085568588513554,0.0,19.057135636368574,16.25987660126164,0.2819014364284802,6.723940040804294,0.0,36003,100.1,106.29,0.0045179788654662835,100.55327285199408,0.45327285199408607,高位平台形成,0.45327285199408607,101.91438480833646,仅历史价格特征
28,20,calendar,2026-03-30,108.89,102.62595180051504,9308.188143469572,9195.216271644056,668.1757407407549,0.0,700.0,81.14761256627276,0.0,781.1476125662728,1.1690750874916152,0.1051292678851474,52978.84140653793,430.0,-0.1170507006729085,1.005969917846122,0.0,19.01968759326166,17.089067136150476,0.1966759584815683,5.451413850027444,0.0,36003,106.29,108.89,0.015303056083051292,107.92907124381965,1.639071243819643,高位平台形成,1.639071243819643,104.26502304433468,仅历史价格特征
29,21,calendar,2026-03-31,103.53,103.5396652036144,9321.712745563951,9174.59247042783,647.5519395245283,0.0,700.0,94.67221466065156,0.0,794.6722146606515,1.227194555612246,0.0581194681206309,52978.84140653793,430.0,-0.1194453685540838,1.0052948421432482,0.0,18.990811548953328,17.336143640746172,0.1744359269882381,5.051214666491493,0.0,36003,108.89,103.53,0.006636417028809359,109.61504263187422,0.7250426318742171,高位平台形成,0.7250426318742171,104.26470783548862,仅历史价格特征
30,22,calendar,2026-04-01,100.24,103.82104014512149,9335.23734765833,9156.468414481347,629.427883578046,0.0,700.0,108.19681675503034,0.0,808.1968167550303,1.2840181343107242,0.056823578698478,52978.84140653793,430.0,-0.1218400364352591,1.004696103706038,0.0,18.95562446013621,17.569867999812857,0.1547107885435704,4.6695189008457545,1.0524151715877983,36003,103.53,100.24,-0.007607965042068512,102.74533601205601,-0.7846639879439863,中期再定价回落,-0.7846639879439863,103.0363761571775,仅历史价格特征
31,23,calendar,2026-04-02,109.24,103.7409699142556,9348.76194975271,9145.285584002082,618.2450530987808,0.0,700.0,121.72141884940916,0.0,821.7214188494091,1.3291192784006276,0.0451011440899034,52978.84140653793,430.0,-0.1242347043164344,1.0041650703498284,0.0,18.915029244339188,17.790961770386147,0.1372161601399193,4.3097672450578175,2.0973834457423015,36003,100.24,109.24,-0.0031627004669163602,99.92347171112388,-0.31652828887611406,中期再定价回落,-0.31652828887611406,103.42444162537949,仅历史价格特征
35,24,calendar,2026-04-06,109.7,102.4642123415239,9402.860358130223,9114.283806294226,587.2432753909252,0.0,700.0,175.8198272269243,0.0,875.8198272269243,1.4914088656764866,0.1622895872758589,52978.84140653793,430.0,-0.1338133758411356,1.002577276358178,0.0,18.7126418308598,18.56214080271537,0.0849070809819938,3.1055829658861493,6.551554807198891,36003,109.24,109.7,0.01478534879104568,110.86715085636389,1.6271508563638974,中期再定价回落,1.6271508563638974,104.0913631978878,仅历史价格特征
36,25,calendar,2026-04-07,103.42,101.61214623600311,9416.384960224605,9122.419369653426,595.3788387501245,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4937454464930244,0.0023365808165378,52978.84140653793,430.0,-0.1362080437223109,1.002285839073136,0.0,18.65477183946956,18.72961162403044,0.075305825344929,2.858726215336676,7.238611870446996,36003,109.24,103.42,0.004794537403638217,109.76501285713263,0.5250128571326371,中期再定价回落,0.5250128571326371,102.13715909313575,仅历史价格特征
37,26,calendar,2026-04-08,96.7,100.82430395283995,9416.384960224605,9125.7858573235,598.7453264201995,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4853467577585084,-0.0083986887345159,52978.84140653793,430.0,-0.1386027116034862,1.0020273573890108,0.0,18.594834032377968,18.888032233219025,0.0667902755022704,2.631068145969691,8.265766779021634,36003,103.42,96.7,-0.007096703188388438,102.68865708744119,-0.7313429125588158,中期再定价回落,-0.7313429125588158,100.09296104028114,仅历史价格特征
38,27,calendar,2026-04-09,96.41,100.05687519116827,9416.384960224605,9128.771803486,601.7312725826996,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4779760830846216,-0.0073706746738868,52978.84140653793,430.0,-0.1409973794846615,1.0017981047008433,0.0,18.533150645157487,19.03789170855094,0.0592376603169329,2.4212935330475287,9.298806150251812,36003,96.7,96.41,-0.007761884332120903,95.95233119818344,-0.7476688018165589,中期再定价回落,-0.7476688018165589,99.30920638935171,仅历史价格特征
39,28,calendar,2026-04-10,94.26,99.28932203883262,9416.384960224605,9131.919095583193,604.8785646798915,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4702859073737455,-0.007690175710876,52978.84140653793,430.0,-0.1433920473658368,1.001594775806535,0.0,18.469999742667603,19.17965269824657,0.0525390915583968,2.2280770126355245,10.331783395557382,36003,96.41,94.26,-0.005943231146776068,95.83871241381118,-0.5712875861888165,中期再定价回落,-0.5712875861888165,98.7180344526438,仅历史价格特征
42,29,calendar,2026-04-13,98.0,97.7146204551551,9416.384960224605,9121.552105269038,594.511574365737,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.495924499485334,0.0256385921115884,52978.84140653793,430.0,-0.1505760510093627,1.0011126373256105,0.0,18.273981080802155,19.56060424302066,0.0366552803735718,1.7358215232143777,13.552755347649851,36003,94.26,98.0,-0.005803575757946317,93.71453929132221,-0.5454607086777941,中期再定价回落,-0.5454607086777941,97.1691597464773,仅历史价格特征
43,30,calendar,2026-04-14,95.34,96.5210057060935,9416.384960224605,9137.9551902862,610.9146593828973,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.455758861998263,-0.0401656374870709,52978.84140653793,430.0,-0.1529707188905381,1.0009868207827382,0.0,18.207051993890296,19.674117569744453,0.0325103172769181,1.596986964953567,14.46385070014611,36003,98.0,95.34,0.0025164926799427353,98.24692684712585,0.24692684712584878,中期再定价回落,0.24692684712584878,96.76793255321935,仅历史价格特征
44,31,calendar,2026-04-15,94.87,95.47411909801804,9416.384960224605,9149.61737242219,622.5768415188886,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4284894169072957,-0.0272694450909674,52978.84140653793,430.0,-0.1553653867717133,1.0008752315195877,0.0,18.139567746067367,19.781496576005935,0.0288340647970576,1.4692423068100855,15.49544511822806,36003,95.34,94.87,0.001315935754278649,95.46554390054976,0.12554390054975784,中期再定价回落,0.12554390054975784,95.5996629985678,仅历史价格特征
45,32,calendar,2026-04-16,98.21,94.50082903946029,9416.384960224605,9159.762672055083,632.7221411517821,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.405584491957838,-0.0229049249494577,52978.84140653793,430.0,-0.1577600546528887,1.000776260721581,0.0,18.07164287129451,19.883072763740778,0.0255735213421371,1.3516948796331882,16.526792137754533,36003,94.87,98.21,-8.413682850522098e-05,94.86201827486295,-0.007981725137057083,中期再定价回落,-0.007981725137057083,94.49284731432323,仅历史价格特征
46,33,calendar,2026-04-17,92.42,93.56150762834372,9416.384960224605,9169.4071615431,642.366630639799,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.384481053188447,-0.0211034387693909,52978.84140653793,430.0,-0.160154722534064,1.0006884814981911,0.0,18.0033761056517,19.979159720344008,0.0226816787171638,1.2435284945646148,17.55775322192811,36003,98.21,92.42,0.0046830965135303965,98.67100553275458,0.46100553275458367,中期再定价回落,0.46100553275458367,94.0225131610983,仅历史价格特征
49,34,calendar,2026-04-20,93.8,97.35308363286718,9416.384960224605,9167.849601313736,640.8090704104343,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.3878461937994782,0.0033651406110311,52978.84140653793,430.0,-0.1673387261775899,1.000480337242226,0.0,17.79731815780691,20.237372326147863,0.0158244702765143,0.9685040886172624,8.303622425796155,36003,92.42,93.8,-0.0035587513467830994,92.09168474321285,-0.3283152567871497,未启用,0.0,97.35308363286718,仅历史价格特征
50,35,calendar,2026-04-21,99.06,100.19098192658464,9416.384960224605,9097.75362586386,570.7130949605598,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.1121538062005218,52978.84140653793,430.0,-0.1697333940587652,1.000426020916647,0.0,17.728424859230337,20.31431274623251,0.0140350460884637,0.8913489263258876,6.715597682288451,36003,93.8,99.06,-0.0008592416754491724,93.71943774702204,-0.0805622529779555,未启用,0.0,100.19098192658464,仅历史价格特征
51,36,calendar,2026-04-22,101.55,102.5423027754364,9416.384960224605,9044.278255414763,517.237724511464,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1721280619399405,1.000377846657443,0.0,17.65951241367376,20.38709526515325,0.0124479692061257,0.82008338318771,5.0325652615946295,36003,99.06,101.55,0.014058830868329781,100.46250346490996,1.4025034649099553,未启用,0.0,102.5423027754364,仅历史价格特征
52,37,calendar,2026-04-23,106.01,104.36533608367208,9416.384960224605,8998.912919675964,471.8723887726628,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1745227298211158,1.0003351199224313,0.0,17.59062107606838,20.455944578097206,0.0110403582845387,0.7545149702631612,3.919365766587847,36003,101.55,106.01,0.006463151023179332,102.20845855282833,0.6584585528283355,未启用,0.0,104.36533608367208,仅历史价格特征
53,38,calendar,2026-04-24,105.88,105.78306575284508,9416.384960224605,8961.981333551463,434.9408026481615,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1769173977022911,1.0002972247079551,0.0,17.52178545296036,20.52107323760427,0.009791919391237,0.6941884932125768,3.052405128161873,36003,106.01,105.88,0.01152838724471525,107.23919604210249,1.2291960421024868,未启用,0.0,105.78306575284508,仅历史价格特征
56,39,calendar,2026-04-27,101.97,107.34130703573098,9416.384960224605,8914.846560732456,387.8060298291548,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.184101401345817,1.000207366642264,0.0,17.315889700031565,20.696092214979867,0.0068315903460619,0.5406360466644379,1.4418540879588189,36003,105.88,101.97,0.0019320496202866653,106.08476315638997,0.20476315638997278,未启用,0.0,107.34130703573098,仅历史价格特征
57,40,calendar,2026-04-28,104.48,108.35384005738588,9416.384960224605,8881.186193131138,354.1456622278365,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1864960692269923,1.0001839177129173,0.0,17.24753493949511,20.748243168649005,0.0060590770932019,0.4974094034442936,1.1229170927770342,36003,101.97,104.48,-0.004819930185859489,101.47969428781946,-0.4903057121805432,未启用,0.0,108.35384005738588,仅历史价格特征
58,41,calendar,2026-04-29,112.49,109.0316185347268,9416.384960224605,8856.174436575919,329.1339056726174,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1888907371081676,1.0001631203782606,0.0,17.179347820986976,20.79757585708484,0.0053739193016056,0.4576388939694572,0.8745287111790199,36003,104.48,112.49,0.002318297237584809,104.72249667646221,0.24249667646220985,未启用,0.0,109.0316185347268,仅历史价格特征
59,42,calendar,2026-04-30,110.86,109.4980426369169,9416.384960224605,8836.400314690543,309.3597837872421,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1912854049893429,1.0001446747971243,0.0,17.111342047997944,20.844242580837353,0.0047662388538628,0.4210482075600643,0.681083645084647,36003,112.49,110.86,0.015255404540556707,114.21923702534966,1.7292370253496614,未启用,0.0,109.4980426369169,仅历史价格特征
60,43,calendar,2026-05-01,109.2,109.82663212987909,9416.384960224605,8819.915399206828,292.87486830352645,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1936800728705182,1.0001283150342477,0.0,17.04352930624967,20.888387410053895,0.0042272746457662,0.3873831170825346,0.53042847612905,36003,112.49,109.2,0.004472493324087829,112.99423753299676,0.5042375329967683,未启用,0.0,109.82663212987909,仅历史价格特征
63,44,calendar,2026-05-04,114.06,110.13362615593104,9416.384960224605,8814.548873840953,287.50834293765183,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1936800728705182,1.0000895223616737,0.0,16.84134139990708,21.007016949251796,0.0029492694441514,0.3016943563494583,0.2505566707447489,36003,112.49,114.06,-0.006413615592245094,111.77084105173348,-0.7191589482665108,未启用,0.0,110.13362615593104,仅历史价格特征
64,45,calendar,2026-05-05,110.31,110.32396669688612,9416.384960224605,8809.55233517583,282.511804272528,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.5,0.0,52978.84140653793,430.0,-0.1936800728705182,1.0000793992121113,0.0,16.774386194278705,21.042365365150857,0.0026157673434033,0.2775722198421113,0.1951337313797746,36003,112.49,110.31,0.002274225741340043,112.74611877921421,0.2561187792142192,未启用,0.0,110.32396669688612,仅历史价格特征
