trade_date,day_index,事件段,actual_price,simulated_price,模型误差,绝对误差,相对误差,误差方向,朴素预测,朴素误差,supply_gap,剩余缺口占需求,缓冲供给合计,风险溢价合计,折价合计,净机制压力,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,mechanism_plus_ridge_return,机制加Ridge误差,online_corrected_price,在线校正误差,regime_corrected_price,分段校正误差,mechanism_plus_phase_ridge,阶段Ridge误差,phase_gated_ridge_correction,ridge_assist_phase
2026-03-18,16,高位平台形成,109.65,103.25840053158812,-6.391599468411883,6.391599468411883,5.829092082454977,低估,103.5,-6.150000000000006,10.039821640428272,0.0010635915835878489,851.1286920865588,33.81218248276989,3.972298564352829,29.839883918417062,0.0259273896972115,20.74681229086687,12.404745688765365,0.6346971134404457,3.972298564352829,0.0,102.95725065820169,-6.692749341798319,103.2621033491679,-6.387896650832104,103.2556509381464,-6.394349061853603,102.95725065820169,-6.692749341798319,-0.3011498733864357,高位平台形成
2026-03-19,17,高位平台形成,103.07,102.52585271098272,-0.5441472890172747,0.5441472890172747,0.5279395449861984,低估,109.65,6.5800000000000125,0.0,0.0,860.9869994466484,34.41241034571113,6.582516271042937,27.829894074668193,0.0,20.975428028324096,12.87273447177046,0.5642478456165673,6.582516271042937,0.0,103.58326607658752,0.5132660765875272,102.75513089135764,-0.3148691086423554,104.33794161868543,1.267941618685441,103.58326607658752,0.5132660765875272,1.057413365604816,高位平台形成
2026-03-20,18,高位平台形成,104.41,101.70007086303082,-2.70992913696918,2.70992913696918,2.5954689560091753,低估,103.07,-1.3400000000000034,0.0,0.0,878.2815322731819,34.97764529998888,8.166542495299884,26.811102804688993,0.0,21.160594195470676,13.315432892396284,0.5016182121219165,8.166542495299884,0.0,100.9061873377482,-3.5038126622518035,101.7268461455227,-2.683153854477297,101.7532056930261,-2.656794306973893,100.9061873377482,-3.5038126622518035,-0.7938835252826237,高位平台形成
2026-03-23,21,高位平台形成,96.07,101.19190501718302,5.121905017183025,5.121905017183025,5.331430225026569,高估,104.41,8.340000000000003,0.0,0.0,930.1651307527825,36.36877881505232,9.394455858583784,26.97432295646854,0.0,21.511252494865275,14.505087730222662,0.3524385899643876,9.394455858583784,0.0,101.2796102538501,5.2096102538501015,101.35141306005666,5.281413060056664,101.545767560475,5.475767560475006,101.2796102538501,5.2096102538501015,0.0877052366670767,高位平台形成
2026-03-24,22,高位平台形成,95.96,101.02532807557098,5.065328075570989,5.065328075570989,5.278582821562098,高估,96.07,0.10999999999999943,0.0,0.0,947.459663579316,36.74771389864517,9.264936081424834,27.482777817220338,0.0,21.574821905701096,14.85957291382996,0.3133190791141134,9.264936081424834,0.0,100.39971172216826,4.439711722168269,101.02532807557098,5.065328075570989,101.83971825857029,5.879718258570293,100.39971172216826,4.439711722168269,-0.6256163534027195,高位平台形成
2026-03-25,23,高位平台形成,98.06,101.11640294715092,3.0564029471509144,3.0564029471509144,3.116870229605256,高估,95.96,-2.1000000000000085,0.0,0.0,964.7541964058496,37.091169514171845,8.989944133291036,28.10122538088081,0.0,21.617726280511867,15.194901529850428,0.2785417038095505,8.989944133291036,0.0,100.3633440615582,2.3033440615581924,100.54175716249678,2.481757162496777,99.95289195065637,1.892891950656363,100.3633440615582,2.3033440615581924,-0.753058885592722,高位平台形成
2026-03-26,24,高位平台形成,100.1,101.39682758614671,1.2968275861467191,1.2968275861467191,1.2955320540926265,高估,98.06,-2.039999999999992,0.0,0.0,964.7541964058496,37.40256925073601,8.633504975645206,28.769064275090802,0.0,21.6428359399133,15.5121088093704,0.2476245014523041,8.633504975645206,0.0,101.60888736321056,1.5088873632105617,100.86752792519069,0.7675279251906915,100.41062285069582,0.31062285069582174,101.60888736321056,1.5088873632105617,0.2120597770638568,高位平台形成
2026-03-27,25,高位平台形成,106.29,101.80847873481272,-4.481521265187283,4.481521265187283,4.216315048628546,低估,100.1,-6.190000000000012,0.0,0.0,964.7541964058496,37.684942022193034,8.235909075776439,29.449032946416594,0.0,21.65262897746575,15.812174039038467,0.2201390056888124,8.235909075776439,0.0,102.209538762402,-4.080461237598001,101.57005702704856,-4.7199429729514435,101.37908711911184,-4.910912880888162,102.209538762402,-4.080461237598001,0.401060027589267,高位平台形成
2026-03-30,28,高位平台形成,108.89,102.7193128656932,-6.170687134306803,6.170687134306803,5.666899746814954,低估,106.29,-2.5999999999999943,0.0,0.0,964.7541964058496,38.38328455004186,6.990927605828986,31.39235694421287,0.0,21.61008068485777,16.61853348263771,0.1546703825463787,6.990927605828986,0.0,104.4628387323026,-4.4271612676974,103.41938878762392,-5.470611212376085,103.95317147433737,-4.936828525662634,104.4628387323026,-4.4271612676974,1.743525866609417,高位平台形成
2026-03-31,29,高位平台形成,103.53,103.52762896534875,-0.002371034651247328,0.002371034651247328,0.002290190912051896,低估,108.89,5.359999999999999,0.0,0.0,964.7541964058496,38.57358127751402,6.594328400041032,31.97925287747299,0.0,21.57727185746233,16.85880693534775,0.1375024847039475,6.594328400041032,0.0,104.14240833749372,0.6124083374937186,105.1178365170286,1.587836517028606,105.91303954016009,2.383039540160084,104.14240833749372,0.6124083374937186,0.6147793721449659,高位平台形成
2026-04-01,30,中期再定价回落,100.24,103.86515594271384,3.625155942713846,3.625155942713846,3.616476399355393,高估,103.53,3.2900000000000063,0.0,0.0,964.7541964058496,38.74562850008147,7.3947577922200525,31.35087070786142,0.0,21.537292450614835,17.08609588306574,0.1222401664008943,6.212930685978579,1.1818271062414738,102.75356066299926,2.513560662999268,103.86568389182167,3.62568389182168,103.86523855098348,3.6252385509834824,102.75356066299926,2.513560662999268,-1.111595279714578,中期再定价回落
2026-04-02,31,中期再定价回落,109.24,103.8758910608129,-5.364108939187091,5.364108939187091,4.910388995960354,低估,100.24,-9.0,0.0,0.0,964.7541964058496,38.90094228500301,8.209895108474234,30.691047176528777,0.0,21.49116835501698,17.301102015337428,0.1086719146486037,5.848656955802587,2.3612381526716466,103.53116521947211,-5.70883478052788,103.06880306093076,-6.171196939069233,103.76544609458269,-5.474553905417309,103.53116521947211,-5.70883478052788,-0.3447258413407894,中期再定价回落
2026-04-06,35,中期再定价回落,109.7,102.89993776146368,-6.800062238536327,6.800062238536327,6.198780527380426,低估,109.24,-0.46000000000000796,0.0,0.0,964.7541964058496,39.38014225777782,11.682190938831027,27.697951318946792,0.0,21.2612167160406,18.05104725621956,0.0678782855176569,4.571968462766575,7.110222476064451,104.78519783811454,-4.914802161885461,103.68431278547236,-6.015687214527645,101.08563662719828,-8.61436337280172,104.78519783811454,-4.914802161885461,1.8852600766508656,中期再定价回落
2026-04-07,36,中期再定价回落,103.42,101.9908316346359,-1.4291683653641059,1.4291683653641059,1.381907141137213,低估,109.7,6.280000000000001,0.0,0.0,964.7541964058496,39.46971602614322,12.55148414588417,26.918231880259047,0.0,21.195465100666112,18.21390690380687,0.0603440216702323,4.29683443277884,8.25464971310533,102.31516527071324,-1.1048347292867646,103.66757052261867,0.2475705226186733,104.63929869057034,1.2192986905703407,102.31516527071324,-1.1048347292867646,0.3243336360773554,中期再定价回落
2026-04-08,37,中期再定价回落,96.7,101.11391373875723,4.4139137387572305,4.4139137387572305,4.564543680203961,高估,103.42,6.719999999999999,0.0,0.0,964.7541964058496,39.548975608284806,13.441845404371803,26.107130203913,0.0,21.127364042698076,18.3679655295449,0.0536460360418244,4.037687123712416,9.404158280659386,100.0863389576325,3.3863389576325034,101.459772215826,4.759772215826004,101.53905590618082,4.839055906180818,100.0863389576325,3.3863389576325034,-1.027574781124727,中期再定价回落
2026-04-09,38,中期再定价回落,96.41,100.2491734803632,3.8391734803632005,3.8391734803632005,3.9821320198767767,高估,96.7,0.29000000000000625,0.0,0.0,964.7541964058496,39.61866991455808,14.351478865705975,25.26719104885211,0.0,21.057279664696924,18.51369874532856,0.0476915045325921,3.7938167105504776,10.557662155155498,99.40565908470124,2.995659084701245,99.2621919062784,2.8521919062784065,99.26735667687312,2.857356676873124,99.40565908470124,2.995659084701245,-0.8435143956619697,中期再定价回落
2026-04-10,39,中期再定价回落,94.26,99.38402450519295,5.124024505192949,5.124024505192949,5.436054005084817,高估,96.41,2.1499999999999915,0.0,0.0,964.7541964058496,39.679482269606495,15.278431379636434,24.40105088997006,0.0,20.985527902664224,18.651556460733342,0.0423979062089319,3.564447370375779,11.713984009260654,98.6645673672746,4.404567367274595,98.40141482150209,4.141414821502082,98.09635927242776,3.8363592724277567,98.6645673672746,4.404567367274595,-0.7194571379183685,中期再定价回落
2026-04-13,42,中期再定价回落,98.0,97.88428898229812,-0.11571101770188363,0.11571101770188363,0.1180724670427384,低估,94.26,-3.739999999999995,0.0,0.0,964.7541964058496,39.8146201292853,18.21298579017947,21.601634339105832,0.0,20.76281240968468,19.02201881257807,0.0297889070225516,2.9557090124104612,15.25727677776901,97.51308303042931,-0.48691696957068586,96.37120534069976,-1.6287946593002403,95.87494921768344,-2.1250507823165634,97.51308303042931,-0.48691696957068586,-0.371205951868788,中期再定价回落
2026-04-14,43,中期再定价回落,95.34,96.57381514797396,1.2338151479739565,1.2338151479739565,1.2941211956932626,高估,98.0,2.6599999999999966,0.0,0.0,964.7541964058496,39.845656971104034,19.168522778270876,20.677134192833158,0.0,20.686767892063813,19.13240664158334,0.026482437456877,2.77670115855724,16.391821619713635,96.96707168381208,1.6270716838120762,96.60573950475666,1.2657395047566524,96.6166647845342,1.2766647845341907,96.96707168381208,1.6270716838120762,0.3932565358381197,中期再定价回落
2026-04-15,44,中期再定价回落,94.87,95.3726185345066,0.5026185345065954,0.5026185345065954,0.529797127128276,高估,95.34,0.46999999999999886,0.0,0.0,964.7541964058496,39.8704646318895,20.170512406075744,19.699952225813753,0.0,20.61009260319487,19.23682905368294,0.023542975011687,2.608466427986508,17.562045978089238,95.68099684715412,0.8109968471541151,95.03263218840914,0.16263218840913396,94.91691105879646,0.04691105879645363,95.68099684715412,0.8109968471541151,0.3083783126475197,中期再定价回落
2026-04-16,45,中期再定价回落,98.21,95.50722936091172,-2.7027706390882713,2.7027706390882713,2.75203201210495,低估,94.87,-3.339999999999989,0.0,0.0,964.7541964058496,39.88945488232476,17.31556819909597,22.573886683228793,0.0,20.53291667603241,19.335608423174634,0.0209297831177163,2.450376511142042,14.865191687953928,95.58172464157616,-2.628275358423835,95.36849579129618,-2.8415042087038103,95.32139939271568,-2.8886006072843173,95.58172464157616,-2.628275358423835,0.0744952806644505,中期再定价回落
2026-04-17,46,中期再定价回落,92.42,96.39895044334624,3.9789504433462355,3.9789504433462355,4.3052915422486855,高估,98.21,5.789999999999992,0.0,0.0,964.7541964058496,39.90300864395911,14.884828672172418,25.018179971786694,0.0,20.455352294051817,19.429049703077947,0.0186066468293486,2.3019169284057295,12.582911743766688,97.04259396946576,4.622593969465754,97.13604042227873,4.7160404222787236,97.37281872208276,4.952818722082753,97.04259396946576,4.622593969465754,0.6436435261195186,中期再定价回落
2026-04-20,49,后期二次抬升,93.8,98.73904623975848,4.939046239758483,4.939046239758483,5.265507718292626,高估,92.42,-1.3799999999999955,0.0,0.0,964.7541964058496,39.91445593510757,9.585191101642328,30.32926483346524,0.0,20.22123021098144,19.68015263344873,0.0130730906773918,1.908493279803838,7.67669782183849,98.47656221744742,4.676562217447426,97.76934080404564,3.9693408040456433,98.58351398195516,4.783513981955167,98.73904623975848,4.939046239758483,0.0,未启用
2026-04-21,50,后期二次抬升,99.06,100.73057736826212,1.6705773682621157,1.6705773682621157,1.6864298084616554,高估,93.8,-5.260000000000005,0.0,0.0,964.7541964058496,39.90955054754494,8.304516627217081,31.605033920327855,0.0,20.14295396519214,19.754974561243728,0.0116220211090664,1.792971409827724,6.511545217389358,100.6529894947996,1.5929894947995962,99.35553866316825,0.2955386631682444,98.71797189745207,-0.34202810254792837,100.73057736826212,1.6705773682621157,0.0,未启用
2026-04-22,51,后期二次抬升,101.55,102.43450132494962,0.8845013249496247,0.8845013249496247,0.8710008123580746,高估,99.06,-2.489999999999995,0.0,0.0,964.7541964058496,39.90074105245121,7.1816291602571365,32.71911189219407,0.0,20.06465596469312,19.82575307232327,0.0103320154348178,1.6843965407988937,5.497232619458243,104.13115031029402,2.5811503102940208,101.96432578089818,0.4143257808981815,101.76656074625424,0.21656074625424537,102.43450132494962,0.8845013249496247,0.0,未启用
2026-04-23,52,后期二次抬升,106.01,103.88854337908198,-2.121456620918025,2.121456620918025,2.001185379603834,低估,101.55,-4.460000000000008,0.0,0.0,964.7541964058496,39.88827381812256,6.2275968462246585,33.66067697189791,0.0,19.986381946950186,19.89270667507408,0.0091851960982962,1.582374865075701,4.645221981148958,104.29513222715045,-1.7148677728495585,103.63833593194038,-2.37166406805963,103.53502282820024,-2.4749771717997646,103.88854337908198,-2.121456620918025,0.0,未启用
2026-04-24,53,后期二次抬升,105.88,105.12740029071632,-0.7525997092836718,0.7525997092836718,0.710804409977023,低估,106.01,0.13000000000000966,0.0,0.0,964.7541964058496,39.872378971226375,5.414164208361928,34.45821476286444,0.0,19.908171231760317,19.95604206957363,0.0081656698924244,1.4865212895292983,3.92764291883263,106.24877162513596,0.3687716251359632,105.71830754406592,-0.1616924559340731,105.97340623263165,0.09340623263165071,105.12740029071632,-0.7525997092836718,0.0,未启用
2026-04-27,56,后期二次抬升,101.97,106.52882588030718,4.558825880307182,4.558825880307182,4.470752064633895,高估,105.88,3.9099999999999966,0.0,0.0,964.7541964058496,39.806212700912006,3.6128594254643893,36.19335327544762,0.0,19.67423343380001,20.126242040844183,0.0057372262678159,1.2323799942743463,2.380479431190043,106.57579687472472,4.605796874724717,106.73898316601571,4.768983166015715,106.82866423292036,4.858664232920361,106.52882588030718,4.558825880307182,0.0,未启用
2026-04-28,57,后期二次抬升,104.48,107.60655267894572,3.126552678945714,3.126552678945714,2.992489164381426,高估,101.97,-2.510000000000005,0.0,0.0,964.7541964058496,39.778626545819534,3.1717846164057932,36.60684192941374,0.0,19.59656907243004,20.17695706014847,0.0051004132410217,1.157719034023974,2.014065582381819,106.82225922803607,2.3422592280360703,106.36704785498596,1.8870478549859513,105.7961020021549,1.3161020021548921,107.60655267894572,3.126552678945714,0.0,未启用
2026-04-29,58,后期二次抬升,112.49,108.44567911066606,-4.044320889333932,4.044320889333932,3.59527148131739,低估,104.48,-8.009999999999991,0.0,0.0,964.7541964058496,39.74856088237039,2.791917168816292,36.9566437135541,0.0,19.519095185153848,20.224931412875144,0.0045342843413935,1.087579502101064,1.704337666715228,108.68743814774088,-3.8025618522591174,107.5427609550074,-4.9472390449926,107.20122913273028,-5.288770867269719,108.44567911066606,-4.044320889333932,0.0,未启用
2026-04-30,59,后期二次抬升,110.86,109.10659647517777,-1.7534035248222324,1.7534035248222324,1.5816376734820787,低估,112.49,1.6299999999999955,0.0,0.0,964.7541964058496,39.716171541781605,2.4640861961686578,37.25208534561295,0.0,19.44182734181399,20.270313206101616,0.0040309938659967,1.021688287303924,1.4423979088647338,111.01837516446504,0.15837516446504196,110.1539867413599,-0.7060132586400982,110.46590899441176,-0.39409100558823695,109.10659647517777,-1.7534035248222324,0.0,未启用
2026-05-01,60,后期二次抬升,109.2,109.63247278526502,0.43247278526501987,0.43247278526501987,0.3960373491437911,高估,110.86,1.6599999999999966,0.0,0.0,964.7541964058496,39.68160492975212,2.1805908462381005,37.50101408351402,0.0,19.364778819673138,20.313242543120168,0.0035835669588178,0.959788482415493,1.2208023638226078,109.99426452918584,0.7942645291858383,110.09592042234311,0.8959204223431101,110.250389265288,1.050389265288004,109.63247278526502,0.43247278526501987,0.0,未启用
2026-05-04,63,后期二次抬升,114.06,110.15935213141395,-3.9006478685860486,3.9006478685860486,3.419821031550104,低估,109.2,-4.859999999999999,0.0,0.0,964.7541964058496,39.56617739942184,1.5360838558636405,38.0300935435582,0.0,19.135053859778743,20.4286057138236,0.0025178258194935,0.7956933118645027,0.7403905439991378,109.01422309837292,-5.045776901627079,110.04630602538742,-4.013693974612579,110.01484473150424,-4.045155268495762,110.15935213141395,-3.9006478685860486,0.0,未启用
2026-05-05,64,后期二次抬升,110.31,110.55289706349586,0.24289706349586027,0.24289706349586027,0.220194962828266,高估,114.06,3.75,0.0,0.0,964.7541964058496,39.524198861381144,1.3741771692677849,38.15002169211336,0.0,19.058979666193515,20.462980839656776,0.0022383555308547,0.7474850549146225,0.6266921143531624,110.56026499998814,0.2502649999881328,111.5599314278263,1.2499314278262972,111.78871045857964,1.4787104585796413,110.55289706349586,0.24289706349586027,0.0,未启用
