参数组,参数,中文名,扰动比例,原值,扰动后值,RMSE,MAE,MAPE,方向命中率,最大绝对误差,综合得分,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,RMSE改善率,综合得分改善率
assumption,route_max_capacity,绕道能力上限,-0.05,189.3444293213031,179.87720785523794,3.379573441772806,2.755967377993006,2.754931476126911,66.66666666666666,7.229916873185061,6.504367761118421,3.729233188819968,3.7763481468941373,2.7544521169203096,0.013040746441377394,0.008228827015960487
assumption,route_start_day,绕道启动日,-0.05,23.0,22.0,3.3799674011822276,2.755628515965688,2.754550781855807,66.66666666666666,7.224725260059259,6.504747918237393,3.730856599372617,3.7757770704788896,2.755072749852311,0.0013851916513842352,0.0023846642862256516
assumption,route_max_capacity,绕道能力上限,0.05,189.3444293213031,198.81165078736825,3.380326308531311,2.7566435612489384,2.7556043107091095,66.66666666666666,7.235367568709776,6.505396281665018,3.73000395943411,3.7771777158645397,2.755898953932291,-0.009233324296524344,-0.0075826392047518435
assumption,route_max_capacity,绕道能力上限,0.1,189.3444293213031,208.27887225343343,3.380308891639941,2.7567017870474153,2.7557066308440508,66.66666666666666,7.226452225628009,6.505504302228082,3.730370531700766,3.7761298638511835,2.756798061434851,-0.008718033820450269,-0.009243241406314454
assumption,route_max_capacity,绕道能力上限,0.15,189.3444293213031,217.74609371949853,3.380236919555253,2.756858909135184,2.755888721705353,66.66666666666666,7.217511155759269,6.505514433566249,3.730725197027401,3.775048635071015,2.7575005421366514,-0.0065886911613604795,-0.009398990663571766
behavior,relief_start_day,预期修复开始日,-0.05,29.0,28.0,3.398170869808202,2.7597265958004265,2.7531468046761165,66.66666666666666,7.943289547142882,6.5063733868774305,3.7319547934009556,3.8413073650002665,2.7489528300314374,-0.5371767029597745,-0.022603696500366623
behavior,pressure_scale,缺口价格传导系数,0.05,0.026215856764507,0.02752664960273235,3.3810349233354278,2.7573918995831175,2.7565894491678478,66.66666666666666,7.235773819792996,6.507541813961298,3.7285897818188145,3.7770562863942763,2.7550663178919086,-0.030198171123032826,-0.040565948619752164
behavior,inventory_response,库存响应比例,-0.05,0.6833743478947638,0.6492056305000256,3.380813083706419,2.7569332939273163,2.7562190350003686,66.66666666666666,7.23573850306812,6.507550899630916,3.72799677682205,3.77705304795246,2.7550663328898937,-0.02363489610365904,-0.04070562279420182
assumption,fear_decay,恐慌衰减速度,-0.05,0.12,0.11399999999999999,3.3786076662521207,2.7575536606717628,2.758246143825147,66.66666666666666,7.210381283945566,6.508769120810774,3.718227919493164,3.7758280738162777,2.7563061728930043,0.04161386648110462,-0.05943336051263504
behavior,inventory_response,库存响应比例,-0.1,0.6833743478947638,0.6150369131052874,3.3816613904386488,2.757461507719912,2.757091597511243,66.66666666666666,7.235689320405896,6.510279218244966,3.7263973301049753,3.777048538721066,2.7550663537763445,-0.0487326228231254,-0.08264811752426315
