开始日期,结束日期,样本数,Ridge_RMSE,Ridge_MAE,Ridge_MAPE,Ridge_方向命中率,Naive_RMSE,Naive_MAE,Naive_MAPE,Naive_方向命中率,Ridge相对Naive_RMSE改善率,是否冲突窗口
2021-02-11,2021-04-16,46,1.836408954272727,1.501964927109843,2.334351450691307,46.666666666666664,1.78945947631996,1.443478260869566,2.2432271311830587,42.22222222222222,-2.62366812850767,False
2021-02-12,2021-04-19,46,1.83190620271586,1.487945162595822,2.3102763170440954,48.888888888888886,1.7852877005998344,1.4282608695652181,2.217590070130673,44.44444444444444,-2.611259916279165,False
2021-02-15,2021-04-20,46,1.8352134361597874,1.4939820862101008,2.3178324207627345,48.888888888888886,1.7863467699774018,1.4304347826086965,2.2193491829786347,46.666666666666664,-2.7355643934130294,False
2021-02-16,2021-04-21,46,1.8410034822065766,1.5029793180575992,2.3309626766672698,51.11111111111111,1.7841701273920778,1.427608695652175,2.2137011322928455,48.888888888888886,-3.1854223956530503,False
2021-02-17,2021-04-22,46,1.8308249898453477,1.4879841527600626,2.306122693329243,48.888888888888886,1.770554445217165,1.407608695652175,2.1810836533593543,48.888888888888886,-3.4040492113073766,False
2021-02-18,2021-04-23,46,1.79299838473498,1.4374718771249035,2.227094502505494,51.11111111111111,1.7244545451419913,1.3547826086956531,2.098359513032463,48.888888888888886,-3.974812776949411,False
2021-02-19,2021-04-26,46,1.7889105089929433,1.4261460508894859,2.208548903603983,51.11111111111111,1.7075745575421355,1.3241304347826095,2.0492026768603293,48.888888888888886,-4.763244514950021,False
2021-02-22,2021-04-27,46,1.7850577042724702,1.4200821311118381,2.1966361748566996,51.11111111111111,1.7097520796633197,1.328695652173914,2.054585681274803,48.888888888888886,-4.404476269096254,False
2021-02-23,2021-04-28,46,1.740273977814771,1.371980791951457,2.1221405402046942,53.333333333333336,1.6566368498177007,1.2750000000000008,1.9715587577724,51.11111111111111,-5.048609657950916,False
2021-02-24,2021-04-29,46,1.7351202964742287,1.365911700105007,2.1101635192937627,55.55555555555556,1.667959570983297,1.2919565217391311,1.9951258815628499,53.333333333333336,-4.0265199864130405,False
2021-02-25,2021-04-30,46,1.732689556950867,1.3637454410459287,2.106912870544028,55.55555555555556,1.6517421632667264,1.2778260869565223,1.9738688988216273,53.333333333333336,-4.900728181694358,False
