candidate_id,upward_speed_multiplier,downward_speed_multiplier,inventory_relief_strength,spr_credibility_strength,coverage_center,credibility_ramp_days,regularization_penalty,regularized_score,RMSE,MAE,MAPE,方向命中率,最大绝对误差,峰值误差,末日误差,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE
56,0.95,0.82,0.0,0.02,0.62,10,0.20500000000000004,5.642133428795861,3.414890957578339,2.787955814675624,2.7813503189048308,66.66666666666666,7.223135137106581,-3.9922741564321598,-0.24227415643215977,3.856416920104038,3.81590930206835,2.727981811010059
105,0.95,0.92,0.0,0.03,0.48,10,0.195,5.643246316983961,3.4015125760813207,2.7627130388907637,2.749930025833952,66.66666666666666,7.455813982997469,-4.100246537833257,-0.3502465378332573,3.8475810183220616,3.7904462240236754,2.7071811666331205
107,0.95,0.92,0.0,0.03,0.62,10,0.19499999999999998,5.643246316983961,3.4015125760813207,2.7627130388907637,2.749930025833952,66.66666666666666,7.455813982997469,-4.100246537833257,-0.3502465378332573,3.8475810183220616,3.7904462240236754,2.7071811666331205
196,1.0,0.7,0.0,0.01,0.55,10,0.19000000000000003,5.651790592080456,3.4613039458651516,2.8612196751376153,2.8666740581412564,64.44444444444444,6.931512975987175,-3.8427855126291774,-0.09278551262917745,3.8559227613106417,3.8961121158375964,2.8152162499229427
385,1.08,0.7,0.0,0.0,0.55,10,0.17800000000000005,5.654621617884399,3.493458170909367,2.9071030019389577,2.9201743461887153,64.44444444444444,6.788817855982387,-3.68404876862229,0.06595123137770997,3.8029520812528452,3.912743378169879,2.9249927364639294
250,1.0,0.82,0.0,0.03,0.55,10,0.21000000000000002,5.669198344326525,3.4185309960634576,2.7935214374961577,2.787827244104893,64.44444444444444,7.298007587749993,-4.058326087446758,-0.3083260874467584,3.8354004347955186,3.8081177153588173,2.7575227239308027
195,1.0,0.7,0.0,0.01,0.48,10,0.20750000000000005,5.669290592080456,3.4613039458651516,2.8612196751376153,2.8666740581412564,64.44444444444444,6.931512975987175,-3.8427855126291774,-0.09278551262917745,3.8559227613106417,3.8961121158375964,2.8152162499229427
197,1.0,0.7,0.0,0.01,0.62,10,0.20750000000000002,5.669290592080456,3.4613039458651516,2.8612196751376153,2.8666740581412564,64.44444444444444,6.931512975987175,-3.8427855126291774,-0.09278551262917745,3.8559227613106417,3.8961121158375964,2.8152162499229427
384,1.08,0.7,0.0,0.0,0.48,10,0.19550000000000006,5.672121617884399,3.493458170909367,2.9071030019389577,2.9201743461887153,64.44444444444444,6.788817855982387,-3.68404876862229,0.06595123137770997,3.8029520812528452,3.912743378169879,2.9249927364639294
386,1.08,0.7,0.0,0.0,0.62,10,0.19550000000000003,5.672121617884399,3.493458170909367,2.9071030019389577,2.9201743461887153,64.44444444444444,6.788817855982387,-3.68404876862229,0.06595123137770997,3.8029520812528452,3.912743378169879,2.9249927364639294
