day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,inventory_remaining_ratio,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,inventory_relief_discount,spr_credibility_discount,spr_credibility,asymmetric_adjustment_speed,literature_challenger_note
25,19,calendar,2026-03-27,106.29,101.46111195634238,9267.614337186438,9223.103988868726,696.0634579654252,0.0,700.0,40.57380628313638,0.0,740.5738062831364,1.0639458196064677,0.035937851102739504,52978.84140653793,0.913428300112723,430.0,-0.10986669702938259,1.0085568588513554,0.0,19.057135636368574,16.25987660126164,0.2819014364284801,6.723940040804291,0.0,0.0,0.0,0.8997411562771962,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
28,20,calendar,2026-03-30,108.89,102.62595180051504,9308.188143469573,9195.216271644056,668.1757407407549,0.0,700.0,81.14761256627276,0.0,781.1476125662728,1.1690750874916152,0.10512926788514743,52978.84140653793,0.913428300112723,430.0,-0.1170507006729085,1.005969917846122,0.0,19.01968759326166,17.089067136150476,0.19667595848156832,5.451413850027441,0.0,0.0,0.0,0.9257264217856661,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
29,21,calendar,2026-03-31,103.53,103.5396652036144,9321.712745563953,9174.59247042783,647.5519395245283,0.0,700.0,94.67221466065155,0.0,794.6722146606515,1.227194555612246,0.05811946812063096,52978.84140653793,0.913428300112723,430.0,-0.1194453685540838,1.0052948421432482,0.0,18.990811548953328,17.336143640746172,0.17443592698823812,5.05121466649149,0.0,0.0,0.0,0.9327944872602503,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
30,22,calendar,2026-04-01,100.24,103.82104014512149,9335.23734765833,9156.468414481347,629.427883578046,0.0,700.0,108.19681675503034,0.0,808.1968167550303,1.2840181343107242,0.056823578698478094,52978.84140653793,0.913428300112723,430.0,-0.1218400364352591,1.004696103706038,0.0,18.95562446013621,17.569867999812857,0.1547107885435704,4.669518900845753,1.0524151715877983,0.0,0.0,0.9391899373747821,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
31,23,calendar,2026-04-02,109.24,103.7409699142556,9348.76194975271,9145.285584002082,618.2450530987808,0.0,700.0,121.72141884940915,0.0,821.7214188494091,1.3291192784006276,0.0451011440899034,52978.84140653793,0.913428300112723,430.0,-0.12423470431643442,1.0041650703498284,0.0,18.915029244339188,17.790961770386147,0.13721616013991925,4.309767245057816,2.0973834457423015,0.0,0.0,0.9449767799435927,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
35,24,calendar,2026-04-06,109.7,102.4642123415239,9402.860358130225,9114.283806294226,587.2432753909252,0.0,700.0,175.8198272269243,0.0,875.8198272269243,1.4914088656764866,0.16228958727585896,52978.84140653793,0.913428300112723,430.0,-0.13381337584113562,1.002577276358178,0.0,18.7126418308598,18.56214080271537,0.08490708098199377,3.1055829658861476,6.551554807198891,0.0,0.0,0.96311683259876,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
36,25,calendar,2026-04-07,103.42,101.61214623600311,9416.384960224605,9122.419369653426,595.3788387501245,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4937454464930244,0.00233658081653787,52978.84140653793,0.913428300112723,430.0,-0.13620804372231093,1.002285839073136,0.0,18.65477183946956,18.72961162403044,0.07530582534492897,2.8587262153366746,7.238611870446996,0.0,0.0,0.9666267300396739,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
37,26,calendar,2026-04-08,96.7,100.82430395283997,9416.384960224605,9125.7858573235,598.7453264201995,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4853467577585084,-0.008398688734515991,52978.84140653793,0.913428300112723,430.0,-0.13860271160348625,1.0020273573890108,0.0,18.594834032377968,18.888032233219022,0.06679027550227046,2.6310681459696896,8.265766779021634,0.0,0.0,0.9698026165776815,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
38,27,calendar,2026-04-09,96.41,100.05687519116827,9416.384960224605,9128.771803486003,601.7312725827014,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4779760830846171,-0.007370674673891298,52978.84140653793,0.913428300112723,430.0,-0.1409973794846615,1.0017981047008433,0.0,18.533150645157487,19.03789170855094,0.05923766031693297,2.4212935330475274,9.298806150251812,0.0,0.0,0.9726762775527075,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
39,28,calendar,2026-04-10,94.26,99.28932203883262,9416.384960224605,9131.919095583193,604.8785646798915,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4702859073737455,-0.007690175710871605,52978.84140653793,0.913428300112723,430.0,-0.14339204736583683,1.001594775806535,0.0,18.469999742667603,19.17965269824657,0.05253909155839682,2.228077012635523,10.331783395557382,0.0,0.0,0.9752764735296606,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
42,29,calendar,2026-04-13,98.0,97.7146204551551,9416.384960224605,9121.552105269038,594.511574365737,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.495924499485334,0.025638592111588476,52978.84140653793,0.913428300112723,430.0,-0.15057605100936272,1.0011126373256105,0.0,18.273981080802155,19.56060424302066,0.036655280373571804,1.735821523214377,13.552755347649853,0.0,0.0,0.9816843611112658,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
43,30,calendar,2026-04-14,95.34,96.5210057060935,9416.384960224605,9137.955190286199,610.9146593828973,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.455758861998263,-0.040165637487070915,52978.84140653793,0.913428300112723,430.0,-0.15297071889053804,1.0009868207827382,0.0,18.207051993890296,19.674117569744453,0.03251031727691815,1.5969869649535662,14.46385070014611,0.0,0.0,0.9834273245982388,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
44,31,calendar,2026-04-15,94.87,95.47411909801804,9416.384960224605,9149.61737242219,622.5768415188886,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.4284894169072957,-0.027269445090967404,52978.84140653793,0.913428300112723,430.0,-0.15536538677171335,1.0008752315195877,0.0,18.139567746067367,19.781496576005935,0.02883406479705762,1.469242306810085,15.495445118228059,0.0,0.0,0.9850044231795223,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
45,32,calendar,2026-04-16,98.21,94.50082903946027,9416.384960224605,9159.762672055083,632.7221411517821,0.0,700.0,189.3444293213031,0.0,889.3444293213031,1.405584491957838,-0.022904924949457728,52978.84140653793,0.913428300112723,430.0,-0.15776005465288867,1.0007762607215813,0.0,18.07164287129451,19.883072763740778,0.025573521342137157,1.3516948796331876,16.526792137754533,0.0,0.0,0.9864314409877991,0.45,库存覆盖/SPR可信度/非对称调价 Challenger
