day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id
15,11,calendar,2026-03-17,103.5,103.36902495755456,9434.56216214876,9474.737640898999,896.3601904123461,40.175478750237744,670.7471383547796,155.65079543880177,29.786777868526638,0.38365160599646597,856.184711662108,0.955179313874084,0.8273959668542519,0.8273959668542519,0.06880641762606332,54496.810416422944,221.1957260518421,327.6190476190476,304.06663304915855,-0.09339334842125323,1.0216710630747463,0.10696510756968206,20.467817013862266,11.9100217620141,0.7139423374659774,0.0,0.0,36003
16,12,calendar,2026-03-18,109.65,103.25840053158812,9429.506142573213,9439.545964213641,861.1685137269887,10.039821640428272,670.7471383547796,172.9453282653353,7.436225466443864,0.38236013752523157,851.1286920865588,0.988341629448365,0.8837269487621915,0.8837269487621915,0.056330981907939615,54489.3741909565,233.74819318463506,348.0952380952381,326.7058426017229,-0.09628623831600344,1.0192656471775394,0.02592738969721154,20.74681229086687,12.404745688765363,0.6346971134404457,3.972298564352829,0.0,36003
17,13,calendar,2026-03-19,103.07,102.52585271098272,9439.3644499333,9413.465127148811,835.0876766621586,0.0,670.7471383547796,190.23986109186882,0.0,0.0,860.9869994466485,1.0310138965144466,0.9352773804754808,0.9352773804754808,0.051550431713289324,54489.3741909565,251.20649703617312,368.57142857142856,335.32837581501553,-0.09917912821075366,1.0171272244416083,0.0,20.975428028324096,12.87273447177046,0.5642478456165673,6.582516271042937,0.0,36003
18,14,calendar,2026-03-20,104.41,101.70007086303082,9456.658982759835,9391.304570415601,812.9271199289487,0.0,670.7471383547796,207.53439391840234,0.0,0.0,878.2815322731819,1.080393937835344,0.9860681755514329,0.9860681755514329,0.05079079507595208,54489.3741909565,270.7757210662763,389.04761904761904,337.9197085181222,-0.10207201810550387,1.015226159514393,0.0,21.160594195470676,13.315432892396283,0.5016182121219165,8.166542495299884,0.0,36003
21,15,calendar,2026-03-23,96.07,101.19190501718302,9508.542581239435,9337.633627128915,759.2561766422623,0.0,670.7471383547796,259.4179923980029,0.0,0.0,930.1651307527825,1.2251005120120968,1.0697294933126653,1.0697294933126653,0.08366131776123242,54489.3741909565,304.8796453771074,430.0,357.48672749397883,-0.11075068778975451,1.0106979492772508,0.0,21.511252494865275,14.505087730222662,0.35243858996438765,9.394455858583783,0.0,36003
22,16,calendar,2026-03-24,95.96,101.02532807557098,9525.83711406597,9335.242268259775,756.8648177731229,0.0,670.7471383547796,276.7125252245364,0.0,0.0,947.459663579316,1.2518215159834865,1.1334617012474526,1.1334617012474526,0.06373220793478729,54489.3741909565,303.59199060141793,430.0,361.16574113880597,-0.11364357768450473,1.0095105125017565,0.0,21.574821905701096,14.85957291382996,0.31331907911411344,9.264936081424834,0.0,36003
23,17,calendar,2026-03-25,98.06,101.11640294715092,9543.131646892502,9330.58018457629,752.2027340896384,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.282572041663015,1.1856503203928994,1.1856503203928994,0.05218861914544681,54489.3741909565,301.0816378487715,430.0,368.3381775749385,-0.11653646757925495,1.0084548772574953,0.0,21.617726280511867,15.194901529850428,0.27854170380955057,8.989944133291036,0.0,36003
24,18,calendar,2026-03-26,100.1,101.39682758614673,9543.131646892502,9324.077307894708,745.6998574080553,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.2937567130013883,1.2234875578058706,1.2234875578058706,0.03783723741297118,54489.3741909565,297.5800888663806,430.0,378.3426032389125,-0.11942935747400517,1.007516414013031,0.0,21.6428359399133,15.5121088093704,0.24762450145230414,8.633504975645206,0.0,36003
25,19,calendar,2026-03-27,106.29,101.80847873481271,9543.131646892502,9316.12095904557,737.7435085589168,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3077095023043548,1.25296523838034,1.25296523838034,0.029477680574469423,54489.3741909565,293.29590102453744,430.0,390.58313992989315,-0.12232224736875538,1.006682117066242,0.0,21.65262897746575,15.812174039038467,0.22013900568881248,8.235909075776439,0.0,36003
28,20,calendar,2026-03-30,108.89,102.7193128656932,9543.131646892502,9295.184843582923,716.807393096271,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3459043610565524,1.2854939313170144,1.2854939313170144,0.032528692936674375,54489.3741909565,282.0226080831126,430.0,422.7925483339641,-0.13100091705300604,1.0046948772191528,0.0,21.61008068485777,16.61853348263771,0.15467038254637877,6.990927605828986,0.0,36003
