sample_id,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days
591,4.6468886782988434,3.8734229988300166,-1.6549825667478473,2.0950174332521527,1.6949739337373602,5.938301778709837,3.2619792646021035,4.659619266513276,5.220336159570897,112.40501743325216,114.06,112.40501743325216,110.31,8.715032292646432,3.1949739337373604,10000.0,10000.0,-0.05,-0.25,1497.0367525693362,600.7381152488115,4,7,10,248.56834559168615,27,58000.0,277.557357780108,430.0,21,0.11538474337009366,0.10696060244162589,0.030589312057024986,2.6691826546662605,0.24780168995124027,0.6050198435885896,0.3065228296411134,0.22,12,0.22507152512064837,30,46,4
592,4.248466248086967,3.6396660587235377,-4.3506955967497305,-0.6006955967497305,4.264313215816805,4.498610269433282,3.3790623821923345,4.175741049531875,4.6831071107378515,109.70930440325027,114.06,109.70930440325027,110.31,8.467711789234576,6.2448696932165895,10000.0,10000.0,-0.05,-0.23487773914030635,1400.0,659.4528352630875,4,7,9,255.0625096669915,22,58000.0,277.11076764404845,430.0,21,0.11620569355939296,0.10403319170470877,0.0250317799954556,2.760020089298319,0.23063887965887647,0.7254606308763455,0.39297575401918444,0.22,14,0.24,29,50,4
593,6.258506547470201,5.072354767769294,-0.5222367490191999,3.2277632509808,2.2643099228665426,8.138094384252199,4.9236901929881745,6.7280658511343105,6.551493598427101,113.5377632509808,114.06,113.5377632509808,110.31,11.551877760626196,3.764309922866543,10000.0,10000.0,-0.05,-0.25,1572.084938928152,700.0,4,7,10,240.7101789052826,23,58000.0,284.78451931611175,430.0,21,0.14546727452100564,0.09947218487214592,0.03247525193431081,2.787885719028633,0.2443448418959066,0.673147440233705,0.3689706561900696,0.18517678768338988,10,0.24,24,51,4
594,3.743665878276557,3.184901327647351,-4.758899268819292,-1.0088992688192917,3.9547399679960344,4.025858264998376,3.207935896591862,4.292416390688201,3.6091448340633496,109.30110073118071,114.06,109.30110073118071,110.31,7.81522437674936,6.261859383051468,10000.0,10000.0,-0.05,-0.25,1537.7751666840604,700.0,4,7,10,288.97512654878506,28,58000.0,250.0,430.0,21,0.12041863272978107,0.12,0.02461257325767531,2.495954557484642,0.22096235601769795,0.5711359356943513,0.3578265598155165,0.22,14,0.2052979202654327,28,48,4
595,5.306742022108579,4.400284049324538,-1.4991137596577175,2.2508862403422825,2.805142103841328,6.782336740534731,3.8362684701403618,6.171348756680734,5.3467629312674445,112.56088624034228,114.06,112.56088624034228,110.31,9.974209657844813,4.3051421038413284,10000.0,10000.0,-0.05,-0.23330156143381126,1584.8367575797677,583.1674001338804,4,7,11,242.1779584627788,26,58000.0,272.762295884267,430.0,21,0.1396921000713357,0.1089522478796302,0.02934736042914948,2.530679714733188,0.27189420139474424,0.6507554446332205,0.33222684572726024,0.22,13,0.24,25,51,4
596,5.454465598245725,4.330113883766346,-9.099276374119981,-5.349276374119981,8.355184721116904,2.540711057816964,3.581530233433622,6.474835379883377,5.522788790773135,104.96072362588002,114.06,104.96072362588002,110.31,12.523111521111508,14.134605820412888,10000.0,10000.0,-0.05,-0.25,1437.5187306167425,700.0,4,7,10,239.33288051927585,23,58000.0,250.0,430.0,21,0.14556529034010643,0.10024415635631378,0.025028167833751187,2.1938659668729787,0.2134735371583914,0.5712658344553836,0.3486487535068602,0.20952008195895042,11,0.21489257044066518,27,49,4
597,4.105817063287175,3.3564953134033715,-6.0013620852040646,-2.2513620852040646,4.432759968754246,3.061347073159231,3.1626922908064117,5.52972416775175,3.3618094181333165,108.05863791479594,114.06,108.05863791479594,110.31,8.73310214040178,7.733849636917498,10000.0,10000.0,-0.05,-0.25,1400.0,700.0,4,7,9,259.04374330890323,23,58000.0,278.0599965266178,430.0,21,0.1374934333936979,0.10500960884488612,0.02948831885150977,2.4936020160006436,0.21837475139095733,0.5808242506109865,0.38434690963131307,0.21650287335576268,12,0.24,27,43,4
598,6.84166041432473,5.314466672168955,-10.613382199952895,-6.863382199952895,10.803443150566567,2.85141159526034,3.7488574778276518,6.788301932228646,8.028089769659834,103.44661780004711,114.06,103.44661780004711,110.31,15.523468251780905,17.794148910528882,10000.0,10000.0,-0.05,-0.23419467152064877,1400.0,628.417407439141,4,7,9,228.17725075740114,26,58000.0,250.0,430.0,21,0.1330814716873833,0.10955920883647614,0.031801132876217345,2.158654518102309,0.22117294977147817,0.5827535204519185,0.34104387899346633,0.20114367089471807,14,0.24,29,51,4
599,3.9331207878111254,3.3739355297296827,-2.853123430176595,0.8968765698234051,2.415215125152718,4.504116091835438,3.192804311646505,4.277681797255974,4.0431031524734,111.20687656982341,114.06,111.20687656982341,110.31,7.525204682119091,3.915215125152718,10000.0,10000.0,-0.05,-0.22808279785436578,1400.0,645.9547458986688,4,7,10,221.18703934996634,26,58000.0,290.017093588778,430.0,21,0.12772001276211412,0.11804244916727603,0.031394503286343384,2.440992445757402,0.27714489088938826,0.6203373241932717,0.3792768074297746,0.22,12,0.2241713968701397,28,48,4
600,4.159675573236184,3.3200224667870377,-6.074902695675405,-2.324902695675405,4.716372401914331,2.6381255840201767,3.2888331138293707,5.783095273020318,3.152732083206955,107.9850973043246,114.06,107.9850973043246,110.31,8.79432343310011,8.076294558454656,10000.0,10000.0,-0.05,-0.25,1400.0,657.2395384514813,4,7,11,271.1187112984653,27,58000.0,250.0,430.0,21,0.14008453683566616,0.11032351667116236,0.031921885509384476,2.1270497402710338,0.2593269283029662,0.6608238674233778,0.39059385345527337,0.18742890389847608,11,0.24,26,45,4
