sample_id,样本类型,RMSE,MAE,峰值误差,末日误差,高价平台RMSE,低价回落RMSE,前期RMSE,中期RMSE,后期RMSE,模拟峰值,实际峰值,模拟末日价格,实际末日价格,综合得分,平台解释得分,assumption_base_supply,assumption_base_demand,assumption_base_elasticity,assumption_long_elasticity,assumption_supply_interruption,assumption_spr_max_release,assumption_spr_delay_days,assumption_spr_ramp_days,assumption_route_start_day,assumption_route_max_capacity,assumption_route_ramp_days,assumption_commercial_inventory,assumption_inventory_daily_cap,assumption_observed_demand_decline,assumption_demand_decline_ramp_days,assumption_fear_initial,assumption_fear_decay,behavior_pressure_scale,behavior_risk_weight,behavior_uncertainty_floor,behavior_inventory_response,behavior_adjustment_speed,behavior_buffer_relief_strength,behavior_buffer_relief_decay_days,behavior_relief_discount_strength,behavior_relief_start_day,behavior_relief_peak_day,behavior_relief_decay_days
640,局部扰动,3.5794706857864385,2.876684496349589,-4.530005872998217,-0.7800058729982169,3.6487972314653674,2.71505103348157,3.1905917062935254,4.790603029071401,2.726441644075849,109.52999412700179,114.06,109.52999412700179,110.31,7.165004963559568,5.772801929863941,10000.0,10000.0,-0.05,-0.25,1405.0646177763008,627.0249399558618,3,7,7,267.18931439823723,17,58000.0,317.5322262916455,430.0,21,0.1158121910706144,0.1160762607213064,0.023547082325814248,2.1343618096394947,0.2902446747373683,0.5404523460140094,0.45,0.2092400747607736,14,0.24,28,46,5
641,局部扰动,3.4212338660471486,2.8184227207815993,-4.1711732671860915,-0.4211732671860915,3.508631084368137,3.1769325333851084,3.1957739346855627,4.240821026359394,2.8809400788821984,109.88882673281391,114.06,109.88882673281391,110.31,6.86986496446962,5.345569698117011,10000.0,10000.0,-0.05,-0.2487707706940493,1402.4187267852217,632.954252706955,4,7,8,265.403254968133,17,58000.0,311.4214070537186,430.0,21,0.11590241669366126,0.12,0.025250865766442785,2.1779447827541074,0.29806839269145263,0.5177078352692427,0.45,0.21672687557607567,14,0.22992539231292702,29,46,6
642,局部扰动,3.5036935924884345,2.9306277732567545,-3.926029101239237,-0.1760291012392372,3.3181814070274718,3.1107344190342276,3.1948721119534085,4.407097949845515,2.9317271494842005,110.13397089876077,114.06,110.13397089876077,110.31,6.8305133888494005,4.959004688018862,10000.0,10000.0,-0.05,-0.24673435703371202,1414.3688173589492,627.6173081148097,4,7,7,267.2017950356909,17,58000.0,298.4872480535295,430.0,21,0.1220084454011839,0.11526098362021878,0.025445811119415948,2.137177539798649,0.3,0.5796132130856316,0.4446445503813877,0.22,14,0.24,29,47,5
643,局部扰动,3.416627433155444,2.749560151138648,-4.059243541936908,-0.3092435419369082,3.2588437458871904,2.980874235462952,3.204536980842803,4.37862561701826,2.722053468457369,110.0007564580631,114.06,110.0007564580631,110.31,6.731120087359117,5.006238579436717,10000.0,10000.0,-0.05,-0.24973639956375426,1401.0936487705135,585.5658986207505,4,7,7,268.71441871958353,17,58000.0,288.3289750021994,430.0,21,0.11293956433876089,0.11262926834475304,0.0233601983033078,2.1192390233649387,0.3,0.5370266857164546,0.445499662316834,0.21244557240613052,14,0.237782350388846,29,46,5
644,局部扰动,3.3903566226306876,2.7882966292518323,-3.7174185126818173,0.03258148731818267,3.0241304864597405,3.302176635796815,3.2273459612993562,4.200774827865429,2.8210376312986725,110.34258148731818,114.06,110.34258148731818,110.31,6.589158332742519,4.5241304864597405,10000.0,10000.0,-0.05,-0.25,1400.0,609.5152711801317,5,7,7,254.83559741326275,17,58000.0,291.38136466745755,430.0,21,0.11462679599438942,0.12,0.025098140438325728,2.2096046057366547,0.2994710518401264,0.5501507472907622,0.4415749142031073,0.2151712417947627,14,0.24,29,45,6
645,局部扰动,3.5801404394181398,2.8179176274554547,-4.571368493183741,-0.8213684931837406,3.467575156330177,2.6856035332788544,3.220364849857504,4.80168803074813,2.6968720627620395,109.48863150681626,114.06,109.48863150681626,110.31,7.151384487760386,5.62466995087717,10000.0,10000.0,-0.05,-0.24366651403508674,1420.26136293571,616.8260455416901,4,7,7,266.5319644963032,17,58000.0,296.8433342677846,430.0,21,0.11966269078526727,0.1163746067937521,0.022838284040069955,2.0696692985207386,0.2896703240559768,0.5268543464168658,0.4460039443446866,0.22,14,0.23704676248510403,29,46,4
646,局部扰动,3.374681913703709,2.8139062090781124,-3.3917125793557688,0.35828742064423125,2.700486898460557,3.4294269886943662,3.2063628684548524,4.126007738131343,2.865612538203475,110.66828742064423,114.06,110.66828742064423,110.31,6.560660907136959,4.200486898460557,10000.0,10000.0,-0.05,-0.2458579666704746,1400.0,612.0858848618549,4,7,7,270.4294467854626,18,58000.0,306.53456176296845,430.0,21,0.11054001579564629,0.11414664411108048,0.027636173149501574,2.2055044393010292,0.29957060789459355,0.5563266498338185,0.44299196824685927,0.20175569588376435,14,0.23833177777419726,29,46,5
647,局部扰动,3.4185778514353493,2.885869907665084,-3.245411373886455,0.504588626113545,2.7543262049235584,3.574926203391956,3.237173865497091,4.054884233957215,3.0247044807225225,110.81458862611355,114.06,110.81458862611355,110.31,6.669936708554683,4.254326204923559,10000.0,10000.0,-0.05,-0.25,1400.0,611.0871736202072,4,7,8,270.21247261465726,17,58000.0,291.6503526434888,430.0,21,0.11221131535457292,0.12,0.022344109822538465,2.245895704771426,0.3,0.5271743264215126,0.45,0.21465649208184814,14,0.24,29,47,5
648,局部扰动,3.520527202439367,2.827149965396976,-4.4408879504798335,-0.6908879504798335,3.5994739659061588,2.747265190133271,3.208041661306491,4.629880040668912,2.73270534924882,109.61911204952017,114.06,109.61911204952017,110.31,7.04829317636704,5.652184326290025,10000.0,10000.0,-0.05,-0.24559158567294362,1408.0712461172766,621.4609439918127,4,7,7,258.58483278674566,17,58000.0,301.5188783211615,430.0,21,0.11370622835075057,0.11428815973174518,0.02450028205809497,2.0634052906285594,0.3,0.5560287934034456,0.45,0.22,14,0.23970635554163364,29,46,5
649,局部扰动,3.4377702367014686,2.7508514132297432,-4.015269158422726,-0.2652691584227256,3.23721548624846,2.9318173761141133,3.2003280104751615,4.465732461812187,2.688408364392149,110.04473084157728,114.06,110.04473084157728,110.31,6.724291570894573,4.94943081298664,10000.0,10000.0,-0.05,-0.24276796525324937,1400.0,609.1716360998192,4,7,8,267.2407446561305,17,58000.0,299.0458020817494,430.0,21,0.11519164501523804,0.1177933209764291,0.023681649763443776,2.145491639047227,0.3,0.5565401352476173,0.44764815004117353,0.2183341741676831,15,0.23613267045825728,29,46,5
