day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,total_buffer_supply,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,naive_price,ridge_price,mechanism_plus_ridge_return,mechanism_plus_phase_ridge,online_corrected_price,regime_corrected_price,ridge_assist_phase,phase_gated_ridge_correction,事件段,机制误差,机制绝对误差,朴素价格,朴素误差,阶段Ridge误差,机制加Ridge误差,风险上行压力,缓冲折价,净机制压力,缓冲供给,剩余缺口占需求,实际日变化,模型日变化,拐点错向
14,10,calendar,2026-03-16,101.02,101.49472884771475,9371.7110909054,9438.74083901082,911.70030810752,67.02974810542219,700.0,0.0,144.67056000209703,844.6705600020971,0.9264783092543192,0.0225249711167937,53322.22503223506,307.14285714285717,-0.0835253503364542,1.032031928346368,0.1540223494495581,17.717389603785737,11.709445491989456,1.0552758634069168,0.0,0.0,36003,103.89,104.16845876714794,101.77318761486268,101.49472884771475,101.692674940462,101.69056683608076,未启用,0.0,未分段,0.47472884771475776,0.47472884771475776,103.89,2.8700000000000045,0.47472884771475776,0.7531876148626822,30.636133308631667,0.0,30.636133308631667,844.6705600020971,0.007101556155497422,-2.8700000000000045,1.8607837554885123,True
15,11,calendar,2026-03-17,103.5,102.85008405019607,9342.232693899714,9395.604310552448,868.5637796491465,53.37161665273379,700.0,0.0,115.19216299641212,815.1921629964121,0.9385518739058016,0.0120735646514822,53207.03286923865,327.6190476190476,-0.0859200182176295,1.028409771877853,0.1192203685211747,18.014346683697646,12.247239607316272,0.9359457296299384,0.0,0.0,36003,101.02,99.62129267374678,101.45137672394286,101.45137672394286,102.84024779327152,102.84033560784026,高位平台形成,-1.3987073262532164,高位平台形成,-0.6499159498039262,0.6499159498039262,101.02,-2.480000000000004,-2.0486232760571426,-2.0486232760571426,31.31675238916503,0.0,31.31675238916503,815.1921629964121,0.005680487905689125,2.480000000000004,1.35535520248132,False
16,12,calendar,2026-03-18,109.65,103.87468301155812,9315.270094613385,9356.149216328626,829.1086854253244,40.879121715242945,700.0,0.0,88.22956371008128,788.2295637100813,0.9506950989250914,0.0121432250192898,53118.80330552856,348.0952380952381,-0.0883146860988048,1.0251972072809403,0.0888388829587873,18.259898890836844,12.755971043032009,0.8301093952669434,0.0,0.0,36003,103.5,103.19885012661356,103.57353313817168,103.57353313817168,103.88631917019592,103.79510537902613,高位平台形成,-0.3011498733864357,高位平台形成,-5.775316988441887,5.775316988441887,103.5,-6.150000000000006,-6.076466861828322,-6.076466861828322,31.934818212094584,0.0,31.934818212094584,788.2295637100813,0.004369225070064028,6.150000000000006,1.0245989613620452,False
17,13,calendar,2026-03-19,103.07,102.9685601739979,9289.925439655157,9319.061703406456,792.021172503155,29.13626375129934,700.0,0.0,62.88490875185509,762.884908751855,0.9632127716242536,0.0125176726991622,53055.91839677671,368.57142857142856,-0.0907093539799801,1.0223479180856645,0.0616476105754242,18.461110536862133,13.237210361777846,0.7362409873731729,3.829303406301629,0.0,36003,109.65,110.70741336560482,104.02597353960272,104.02597353960272,103.26571014631172,105.24158347600898,高位平台形成,1.057413365604816,高位平台形成,-0.10143982600209256,0.10143982600209256,109.65,6.5800000000000125,0.9559735396027236,0.9559735396027236,32.49620949658858,3.829303406301629,28.666906090286947,762.884908751855,0.0031265233216182025,-6.5800000000000125,-0.9061228375602184,False
18,14,calendar,2026-03-20,104.41,101.7005437911415,9275.786552873637,9298.371891409448,771.3313605061467,22.585338535813207,700.0,0.0,48.74602197033429,748.7460219703343,0.9707190194873032,0.0075062478630495,53007.172374806374,389.04761904761904,-0.0931040218611554,1.0198208252682568,0.0465578187449763,18.624080897932437,13.69244325215571,0.6529871780500858,6.061283752469489,0.0,36003,103.07,102.27611647471736,100.90666026585887,100.90666026585887,101.70497238648788,101.71202585741597,高位平台形成,-0.7938835252826237,高位平台形成,-2.709456208858498,2.709456208858498,103.07,-1.3400000000000034,-3.5033397341411217,-3.5033397341411217,33.016069146883204,6.061283752469489,26.954785394413715,748.7460219703343,0.002428956251650817,1.3400000000000034,-1.268016382856402,True
21,15,calendar,2026-03-23,96.07,100.74600096699176,9239.810238931832,9245.726786932471,718.686256029172,5.916548000641342,700.0,0.0,12.769708028530014,712.76970802853,0.9917675509292028,0.0210485314418996,52994.402666777845,430.0,-0.1002880255046813,1.0138285205528532,0.0113227983711173,18.932705905109895,14.915781726257602,0.4555736953534741,7.912756028086655,0.0,36003,104.41,104.49770523666707,100.83370620365883,100.83370620365883,100.86941519859434,101.07329784804789,高位平台形成,0.0877052366670767,高位平台形成,4.676000966991765,4.676000966991765,104.41,8.340000000000003,4.763706203658842,4.763706203658842,34.31538412509209,7.912756028086655,26.402628097005433,712.76970802853,0.0006399224351949861,-8.340000000000003,-0.9545428241497405,False
22,16,calendar,2026-03-24,95.96,100.4675334152173,9241.008359518672,9247.480028900847,720.4394979975477,6.471669382177424,700.0,0.0,13.967828615370513,713.9678286153705,0.991017053617736,-0.0007504973114669,52980.43483816247,430.0,-0.1026826933858567,1.012264797487889,0.0120963274011434,18.988655272084365,15.280303728621089,0.4040576208397526,7.75924141331468,0.0,36003,96.07,95.44438364659727,99.84191706181458,99.84191706181458,100.4675334152173,101.3660063699056,高位平台形成,-0.6256163534027195,高位平台形成,4.50753341521731,4.50753341521731,96.07,0.10999999999999943,3.8819170618145904,3.8819170618145904,34.68511294894635,7.75924141331468,26.925871535631668,713.9678286153705,0.0006998305875710709,-0.10999999999999943,-0.2784675517744546,False
23,17,calendar,2026-03-25,98.06,100.5920933521972,9242.15856462222,9242.896844203184,715.8563132998825,0.7382795809626259,700.0,13.524602094378793,1.5934316245394375,715.1180337189182,0.9989686763010288,0.0079516226832929,52978.84140653793,430.0,-0.105077361267032,1.0108778995442058,0.0013484851285647,19.02641671394038,15.625126768381676,0.3583669615340889,7.469220665236015,0.0,36003,95.96,95.20694111440729,99.83903446660447,99.83903446660447,100.20367499734483,99.7101487598208,高位平台形成,-0.753058885592722,高位平台形成,2.532093352197194,2.532093352197194,95.96,-2.1000000000000085,1.7790344666044717,1.7790344666044717,35.01125892898471,7.469220665236015,27.542038263748694,715.1180337189182,7.98753457283956e-05,2.1000000000000085,0.12455993697989243,False
24,18,calendar,2026-03-26,100.1,100.9556386414278,9254.08973509206,9234.281356328986,707.2408254256843,0.0,700.0,27.049204188757585,0.0,727.0492041887576,1.0280079685037282,0.0290392922026992,52978.84140653793,430.0,-0.1074720291482073,1.0096478314143125,0.0,19.048516486928417,15.951315387940422,0.3178429820288149,7.120869372355286,0.0,36003,98.06,98.27205977706386,101.16769841849164,101.16769841849164,100.61168339411574,100.23993183100208,高位平台形成,0.2120597770638568,高位平台形成,0.8556386414278023,0.8556386414278023,98.06,-2.039999999999992,1.067698418491645,1.067698418491645,35.31767485689765,7.120869372355286,28.196805484542367,727.0492041887576,0.0,2.039999999999992,0.3635452892306006,False
25,19,calendar,2026-03-27,106.29,101.46111195634238,9267.614337186438,9223.103988868726,696.0634579654252,0.0,700.0,40.57380628313638,0.0,740.5738062831364,1.0639458196064675,0.0359378511027395,52978.84140653793,430.0,-0.1098666970293826,1.0085568588513554,0.0,19.057135636368574,16.25987660126164,0.2819014364284802,6.723940040804294,0.0,36003,100.1,100.50106002758926,101.86217198393165,101.86217198393165,101.33936697037824,101.21596364665446,高位平台形成,0.401060027589267,高位平台形成,-4.828888043657628,4.828888043657628,100.1,-6.190000000000012,-4.427828016068361,-4.427828016068361,35.59891367405869,6.723940040804294,28.8749736332544,740.5738062831364,0.0,6.190000000000012,0.5054733149145818,False
