参数,参数中文名,参数值,最优参数值,相对最优比例,RMSE,MAE,高价平台RMSE,低价回落RMSE,峰值误差,末日误差,综合得分,相对最优RMSE变化
pressure_scale,价格传导系数,0.02563499088948011,0.0233869693105043,1.0961228258834763,3.367292709866196,2.742139532339583,2.8536323669678927,3.1500534958594772,-3.5727116901699816,0.17728830983001842,6.506874701560832,-0.0004558029158530097
pressure_scale,价格传导系数,0.02606845172713243,0.0233869693105043,1.114657114439524,3.367455873926078,2.7428968750498304,2.853632366917767,3.15179067167143,-3.5727116901602187,0.17728830983978128,6.507455843256514,-0.00029263885597119454
pressure_scale,价格传导系数,0.026501912564784742,0.0233869693105043,1.1331914029955716,3.3676999818633626,2.743653296644654,2.8536323668676693,3.153710759752429,-3.57271169015047,0.17728830984952992,6.508193410065565,-4.853091868639581e-05
pressure_scale,价格传导系数,0.02693537340243706,0.0233869693105043,1.1517256915516192,3.36802492989258,2.7444087983883043,2.8536323668176173,3.1558132346022774,-3.5727116901407356,0.17728830985926436,6.5090871000667505,0.00027641711053094653
pressure_scale,价格传导系数,0.027368834240089377,0.0233869693105043,1.1702599801076667,3.3684306086226297,2.745163381542079,2.8536323667676005,3.1580975408553984,-3.572711690131001,0.1772883098689988,6.510136586680477,0.0006820958405806543
pressure_scale,价格传导系数,0.027802295077741693,0.0233869693105043,1.1887942686637145,3.368916903085162,2.745917047364334,2.8536323667176275,3.1605630936989098,-3.572711690121281,0.17728830987871902,6.511341518939362,0.0011683903031127763
pressure_scale,价格传导系数,0.028235755915394012,0.0233869693105043,1.207328557219762,3.369483692764898,2.7466697971104796,2.853632366667685,3.163209279313329,-3.572711690111575,0.17728830988842503,6.512701521785971,0.001735179982849111
pressure_scale,价格传导系数,0.028669216753046324,0.0233869693105043,1.2258628457758096,3.3701308516318957,2.7474216320330043,2.8536323666177723,3.166035455335109,-3.5727116901018547,0.17728830989814526,6.514216196396906,0.0023823388498467324
pressure_scale,价格传导系数,0.029102677590698643,0.0233869693105043,1.2443971343318574,3.370858248175705,2.748172553381476,2.853632366567909,3.169040951340056,-3.5727116900921487,0.17728830990785127,6.515885120532276,0.003109735393655999
pressure_scale,价格传导系数,0.02953613842835096,0.0233869693105043,1.262931422887905,3.3716657454413954,2.7489225624025524,2.8536323665180747,3.172225069346788,-3.572711690082457,0.17728830991754307,6.517707848909502,0.0039172326593464035
pressure_scale,价格传导系数,0.029969599266003275,0.0233869693105043,1.2814657114439525,3.3725532010674515,2.7496716603399953,2.8536323664682874,3.1755870843393232,-3.572711690072765,0.17728830992723488,6.519683913600496,0.004804688285402481
pressure_scale,价格传导系数,0.03040306010365559,0.0233869693105043,1.3,3.373520467325465,2.750419848434678,2.8536323664185277,3.17912624480776,-3.5727116900630875,0.17728830993691247,6.5218128244508975,0.005771954543416058
risk_weight,封锁风险权重,1.6,2.176555457337805,0.7351064704581416,5.822436522512373,4.706016725951821,7.18636988892028,3.370421557835523,-8.197826962437503,-4.447826962437503,12.600152892172973,2.4546880097303236
risk_weight,封锁风险权重,1.6512300872724646,2.176555457337805,0.7586437008557191,5.497873345356494,4.381930016605,6.7824609964791716,3.135493942590211,-7.786842532168649,-4.036842532168649,11.857807203327951,2.130124832574445
risk_weight,封锁风险权重,1.702460174544929,2.176555457337805,0.7821809312532966,5.184328106780254,4.093040063127512,6.380177774457185,2.9283101153687077,-7.375866475521349,-3.6258664755213488,11.136185262304348,1.8165795939982048
risk_weight,封锁风险权重,1.7536902618173933,2.176555457337805,0.8057181616508738,4.883990990039755,3.8365964658920935,5.979789680033806,2.7551630350160083,-6.96488938756282,-3.2148893875628204,10.439564719213447,1.516242477257706
risk_weight,封锁风险权重,1.8049203490898578,2.176555457337805,0.8292553920484513,4.599463003088457,3.6144536264217604,5.581702501958653,2.6228155756887297,-6.553910666723098,-2.803910666723098,9.772940714405346,1.2317144903064077
