day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount
14,10,calendar,2026-03-16,101.02,100.79976883556178,9178.42944029669,9535.519680781703,1135.5196807817028,357.09024048501306,450.0,11.904761904761903,316.5246783919277,0.58384233709215,778.4294402966896,0.6855270353049373,0.5753032953162278,0.5753032953162278,0.059351244609305076,53230.31757711918,222.422685256082,307.14285714285717,242.05763396221482,-0.08033333333333334,1.0522047671396864,1.464418186015582,21.06882505556285,7.915087084465963,1.7198599510333958,0.0,0.0
15,11,calendar,2026-03-17,103.5,102.0490649639467,9167.84181487041,9503.128617352915,1103.1286173529152,335.28680248250566,450.0,23.809523809523807,294.0322910608868,0.5699890838940613,767.8418148704106,0.6960582862159228,0.6175675421311211,0.6175675421311211,0.04226424681489327,52936.28528605829,236.48317491164323,327.6190476190476,260.38820773544103,-0.0825,1.0481910739059523,1.3388916441678673,21.42195477193698,8.278613031039361,1.5876308342946468,0.0,0.0
16,12,calendar,2026-03-18,109.65,103.0860284282292,9157.63388584706,9471.673019463438,1071.6730194634383,314.0391336163775,450.0,35.714285714285715,271.91960013277475,0.553554808034035,757.6338858470605,0.7069636653037977,0.6488561852415579,0.6488561852415579,0.031288643110436776,52664.36568592552,251.04737678067877,348.0952380952381,277.2796037558837,-0.08466666666666667,1.0444859680725112,1.2219522327667025,21.71395582908581,8.62249384239376,1.4655679751648405,0.0,0.0
17,13,calendar,2026-03-19,103.07,103.9499399637725,9148.02276913845,9441.109095454265,1041.1090954542651,293.0863263158153,450.0,47.61904761904761,250.40372151940124,0.5362745725391899,748.0227691384489,0.718486441434906,0.6732267749092298,0.6732267749092298,0.024370589667671916,52413.96196440612,266.09171073911006,368.57142857142856,292.7991938066243,-0.08683333333333335,1.041065724312569,1.1119672718592755,21.953228829457313,8.947791152069799,1.3528897546154275,0.0,0.0
18,14,calendar,2026-03-20,104.41,104.67210120531082,9138.760303081219,9411.27465774795,1011.2746577479502,272.5143546667314,450.0,59.52380952380952,229.23649355741037,0.5162241870499489,738.76030308122,0.7305238961751461,0.6932807673523005,0.6932807673523005,0.02005399244307071,52184.72547084871,281.5288450144645,389.04761904761904,307.1964972375845,-0.089,1.0379084413891395,1.00874709632788,22.14702679312,9.25550922236774,1.2488746473445056,0.0,0.0
21,15,calendar,2026-03-23,96.07,105.37430031217448,9127.772290471508,9351.827052657527,951.827052657527,224.0547621860187,450.0,95.23809523809523,182.53419523341282,0.47501488675262665,727.772290471508,0.7646055955643916,0.7182444572265324,0.7182444572265324,0.02496368987423192,52002.191275615296,312.52225912328356,430.0,335.65068821918976,-0.0955,1.0298198361663056,0.7729185458468368,22.51403155112364,10.08243399544246,0.9823995925808546,0.0,0.0
22,16,calendar,2026-03-24,95.96,105.9613031286208,9129.72117705943,9342.865518423103,942.8655184231029,213.14434136367345,450.0,107.14285714285714,172.57831991657287,0.46709381030564256,729.7211770594299,0.7739398278981009,0.7377378369615814,0.7377378369615814,0.019493379735048944,51829.61295569872,307.69681761243976,430.0,349.4376639644579,-0.09766666666666667,1.0275271782116882,0.7189693263538094,22.5805643446737,10.328835363883409,0.9068691225949581,0.0,0.0
23,17,calendar,2026-03-25,98.06,106.44132060546424,9132.014820822887,9334.442554528623,934.4425545286231,202.4277337057356,450.0,119.04761904761904,162.96720177526888,0.4597553375477562,732.0148208228879,0.7833705959508135,0.7537093026078125,0.7537093026078125,0.015971465646231198,51666.645753923454,303.1613755154123,430.0,362.3960699559648,-0.09983333333333334,1.0254107881771073,0.6680013829451024,22.625468770782852,10.561921071511705,0.8371457111007117,0.0,0.0
24,18,calendar,2026-03-26,100.1,106.83529998727445,9134.633670759096,9326.540961303648,926.5409613036481,191.90729054455187,450.0,130.95238095238096,153.68128980671477,0.45295767285967814,734.6336707590957,0.7928777047541019,0.7674182433590139,0.7674182433590139,0.013708940751201326,51512.96446411674,298.9066714711952,430.0,374.55236722515656,-0.10200000000000001,1.023457113940856,0.6198323267985282,22.65174895433501,10.782410703709528,0.7727828902245313,0.0,0.0
25,19,calendar,2026-03-27,106.29,107.15959345635966,9137.522571589327,9319.064180607758,919.0641806077583,181.5416090184317,450.0,142.85714285714286,144.66542873218418,0.4466355219772104,737.5225715893271,0.8024712388438624,0.7796867917787108,0.7796867917787108,0.012268548419696934,51368.29903538455,294.88071263494703,430.0,386.0551067572942,-0.10416666666666667,1.021653645317858,0.5741565636775412,22.661998508910678,10.990984959082828,0.713368518174174,0.0,0.0
28,20,calendar,2026-03-30,108.89,107.45688549715132,9148.84454138778,9301.640310901988,901.6403109019884,152.7957695142086,450.0,178.57142857142858,120.27311281635102,0.43090763737462345,748.8445413877796,0.8305357827653534,0.7974839386240358,0.7974839386240358,0.017797146845324963,51248.0259225682,285.49862894722423,430.0,412.86106015078803,-0.11066666666666666,1.0170333607006805,0.45485965922537747,22.61746676430626,11.551482490562856,0.561155551603567,0.0,0.0
29,21,calendar,2026-03-31,103.53,107.70075441480844,9152.13560250048,9294.552292399632,894.5522923996323,142.4166898991516,450.0,190.47619047619045,111.6594120242906,0.42583019400801203,752.1356025004811,0.8407955676720484,0.8126430087908402,0.8126430087908402,0.0151590701668044,51136.366510543914,281.6820035998022,430.0,423.76570400056517,-0.11283333333333334,1.0157237736966978,0.41582097255975764,22.58312850458323,11.71849569812578,0.5180118625508623,0.0,0.0
30,22,calendar,2026-04-01,100.24,107.8936756747658,9155.608049458648,9287.757753056969,887.7577530569688,132.14970359832114,450.0,202.38095238095238,103.22709707769569,0.42109636865911815,755.6080494586481,0.8511421577077002,0.8261177109117411,0.8261177109117411,0.013474702120900961,51033.13941346622,278.02340549221367,430.0,434.2188414508182,-0.115,1.014514872526306,0.37857442697346866,22.541285398173017,11.87648342325242,0.47818521794288804,0.0,0.0
