day_index,step_index,time_axis,trade_date,actual_price,simulated_price,effective_supply,effective_demand,gross_shortage,supply_gap,spr_release,route_supply,inventory_buffer,inventory_release_pressure,total_buffer_supply,observed_buffer_coverage_ratio,perceived_buffer_coverage_ratio,buffer_coverage_ratio,buffer_coverage_momentum,inventory_remaining,demand_decline,observed_demand_decline,price_elasticity_demand_loss,demand_elasticity,fear_factor,shortage_pressure,blockade_risk_premium,uncertainty_premium,panic_premium,buffer_confirmation_discount,expectation_relief_discount,candidate_id,事件段,机制模型误差,在线校正系数,预测误差校正量,online_corrected_price,在线校正后误差,分段校正基础系数,分段校正平台增量,分段校正再定价增量,分段校正尾段增量,分段预测误差校正量,regime_corrected_price,分段校正后误差
29,21,calendar,2026-03-31,103.53,103.52762896534875,9543.131646892502,9281.836668893096,703.4592184064422,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3714429652245133,1.315576093184639,1.315576093184639,0.0300821618676245,54489.3741909565,274.8351294039737,430.0,443.32820170293235,-0.1338938069477562,1.0041737614686503,0.0,21.57727185746233,16.85880693534775,0.1375024847039475,6.594328400041032,0.0,36003,高位平台形成,-0.002371034651247328,0.25770348051497566,-1.5902075516798442,105.11783651702859,1.5878365170285917,0.0365713044418158,0.35,0.0,0.0,-2.385410574811311,105.91303954016007,2.3830395401600697
30,22,calendar,2026-04-01,100.24,103.86515594271384,9543.131646892502,9269.103577597292,690.7261271106399,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.3967246330198773,1.3439780821269725,1.3439780821269725,0.0284019889423334,54489.3741909565,267.97884947546504,430.0,462.9175729272429,-0.1367866968425064,1.003710487832594,0.0,21.537292450614835,17.08609588306574,0.1222401664008943,6.212930685978579,1.1818271062414738,36003,中期再定价回落,3.625155942713846,0.22266612913128078,-0.0005279491078293788,103.86568389182167,3.62568389182168,0.03484059989864036,0.30812055587598436,0.0,0.0,-8.260826962992045e-05,103.86523855098348,3.6252385509834824
31,23,calendar,2026-04-02,109.24,103.8758910608129,9543.131646892502,9260.077712676357,681.7002621897045,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4152175815613468,1.3689119069290034,1.3689119069290034,0.0249338248020309,54489.3741909565,263.1187683641924,430.0,476.80351895945023,-0.1396795867372566,1.0032986360287333,0.0,21.49116835501698,17.301102015337428,0.1086719146486037,5.848656955802587,2.3612381526716466,36003,中期再定价回落,-5.364108939187091,0.22263538800429197,0.807087999882162,103.06880306093075,-6.171196939069247,0.03476403708842989,0.30819623025249054,-0.0042977708158837185,0.0,0.11044496623022317,103.76544609458269,-5.474553905417309
35,24,calendar,2026-04-06,109.7,102.89993776146368,9543.131646892502,9234.978959307084,656.6015088204331,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.469314619972477,1.4040528564942192,1.4040528564942192,0.0351409495652157,54489.3741909565,249.6040550115079,430.0,515.416985681406,-0.1512511463162575,1.0020603829324366,0.0,21.2612167160406,18.05104725621956,0.0678782855176569,4.571968462766575,7.110222476064451,36003,中期再定价回落,-6.800062238536327,0.1462265276304323,-0.7843750240086901,103.68431278547237,-6.015687214527631,0.011770267003499396,0.3309231809733579,-0.35,0.0,1.8143011342653916,101.08563662719828,-8.61436337280172
36,25,calendar,2026-04-07,103.42,101.9908316346359,9543.131646892502,9237.710449441694,659.3329989550421,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.463227531361028,1.4247639926976023,1.4247639926976023,0.0207111362033831,54489.3741909565,251.07485739168135,430.0,511.2146931666248,-0.1541440362110077,1.0018316872822546,0.0,21.195465100666112,18.21390690380687,0.0603440216702323,4.29683443277884,8.25464971310533,36003,中期再定价回落,-1.4291683653641059,0.24657699138113837,-1.6767388879827765,103.66757052261867,0.2475705226186733,0.04104770545626567,0.3019854774783873,0.3484291791706786,0.0,-2.6484670559344536,104.63929869057034,1.2192986905703407
37,26,calendar,2026-04-08,96.7,101.11391373875723,9543.131646892502,9240.232026321284,661.8545758346318,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.457652831347802,1.4362750862251723,1.4362750862251723,0.0115110935275699,54489.3741909565,252.43262955761497,430.0,507.3353441211002,-0.1570369261057579,1.0016283760883251,0.0,21.127364042698076,18.3679655295449,0.0536460360418244,4.037687123712416,9.404158280659386,36003,中期再定价回落,4.4139137387572305,0.24199981293362197,-0.3458584770687639,101.45977221582599,4.75977221582599,0.03943742445414414,0.30357707280385104,0.25803779101165364,0.0,-0.4251421674235894,101.53905590618082,4.839055906180818
38,27,calendar,2026-04-09,96.41,100.2491734803632,9543.131646892502,9242.835691605716,664.458241119064,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4519410501719936,1.4417581736065597,1.4417581736065597,0.0054830873813873,54489.3741909565,253.83460317230876,430.0,503.329705221975,-0.1599298160005081,1.0014476317604637,0.0,21.057279664696924,18.51369874532856,0.0476915045325921,3.7938167105504776,10.557662155155498,36003,中期再定价回落,3.8391734803632005,0.22360690138060862,0.9869815740848016,99.26219190627839,2.8521919062783923,0.038124046642410106,0.30487521019910674,0.18431274338115466,0.0,0.9818168034900698,99.26735667687312,2.857356676873124
39,28,calendar,2026-04-10,94.26,99.38402450519295,9543.131646892502,9245.702474711476,667.3250242248232,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4457036097612637,1.443139076260706,1.443139076260706,0.0013809026541464,54489.3741909565,255.3782556138711,430.0,498.91926967465406,-0.1628227058952583,1.0012869494516212,0.0,20.985527902664224,18.651556460733342,0.0423979062089319,3.564447370375779,11.713984009260654,36003,中期再定价回落,5.124024505192949,0.25594302750755377,0.9826096836908695,98.40141482150209,4.141414821502082,0.04010124137055462,0.30292095880900743,0.29530043801471406,0.0,1.2876652327652043,98.09635927242775,3.8363592724277424
42,29,calendar,2026-04-13,98.0,97.88428898229812,9543.131646892502,9238.04034079525,659.6628903085984,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.4624957847098623,1.4499139242179109,1.4499139242179109,0.0067748479572047,54489.3741909565,251.2524911974423,430.0,510.7071680073077,-0.171501375579509,1.0009042148772194,0.0,20.76281240968468,19.02201881257807,0.0297889070225516,2.9557090124104612,15.25727677776901,36003,中期再定价回落,-0.11571101770188363,0.2952920385265351,1.5130836415983464,96.37120534069977,-1.628794659300226,0.042140935816820636,0.3009049329465807,0.35,0.0,2.009339764614684,95.87494921768344,-2.1250507823165634
43,30,calendar,2026-04-14,95.34,96.57381514797396,9543.131646892502,9248.951885114731,670.574434628079,0.0,670.7471383547796,294.00705805107,0.0,0.0,964.7541964058496,1.438698146822331,1.445988402129458,1.445988402129458,-0.0039255220884528,54489.3741909565,257.12793813870144,430.0,493.92017674656745,-0.1743942654742592,1.000803850034357,0.0,20.686767892063813,19.13240664158334,0.026482437456877,2.77670115855724,16.391821619713635,36003,中期再定价回落,1.2338151479739565,0.2758972949745086,-0.03192435678269717,96.60573950475666,1.2657395047566524,0.04071233682889109,0.3023169544932271,0.3296036228029194,0.0,-0.04284963656024645,96.61666478453421,1.276664784534205
