sample_id,stress_index,raw_stress_index,historical_stress_noise_sigma,historical_event_volatility_percentile,路径类别,supply_interruption,spr_max_release,route_max_capacity,long_elasticity,fear_decay,risk_weight,uncertainty_floor,pressure_scale,relief_discount_strength,buffer_relief_strength,第90天价格,第120天价格,第150天价格,第180天价格,外推期最高价,外推期最低价,外推期均价,第180天剩余供需缺口,第180天SPR实际释放,第180天制度风险溢价,第180天冲击不确定性溢价,二次跳涨幅度,二次跳涨风险,是否突破120,是否突破130,是否高缺口
1087,0.47065648876479727,0.474124544065802,0.0734342963653308,0.9552656104380244,中性附近,1618.548803952829,450.4950090534278,272.3153031684136,-0.2247748844475067,0.10849418110673922,1.974783577919513,0.3447621969929303,0.023703447345294244,0.206670558741443,0.188637528966457,99.17788460084093,99.92752716800705,97.8515489811089,95.27945247127639,107.47113670907109,95.27945247127639,98.71023948841533,0.0,224.07574844262797,8.504755991139197,1.774479125810923,0.0,低,False,False,False
1088,0.35023741823674553,0.27273464583927065,0.0734342963653308,0.9552656104380244,中性附近,1535.6712010904007,531.3653173835215,300.69847951953733,-0.2536085158407684,0.10416173077014865,2.1661069288370953,0.28916370856094015,0.028867809563399027,0.22747897412869034,0.2065880390074505,98.61847755776711,99.08364020672279,96.83043599979486,94.21349741439516,103.38072701544493,94.21349741439516,97.50005524883751,0.0,148.8690597630051,6.992905604136046,1.4883156252597596,0.0,低,False,False,False
1089,0.8826734190633272,0.8863439221454876,0.0734342963653308,0.9552656104380244,高压尾部,1757.2918419875436,291.324388347264,151.48468755179778,-0.1560152474549138,0.04177107415441027,2.5821641135581426,0.36,0.027758882122792886,0.13547403318585705,0.12721939966226004,112.96891590809041,106.3691591418791,106.39841325864244,106.41629442022065,122.61063906311514,104.92330867974964,109.64106883258033,432.5554242100807,0.0,12.241596403482552,1.8787204346401214,12.286672366229027,中,True,False,False
1090,0.3487196128215539,0.38964205317374584,0.0734342963653308,0.9552656104380244,中性附近,1522.5904841326183,563.2751715876105,295.76185851579794,-0.274477937592925,0.1311947389573349,2.1622005751153077,0.29155578813031585,0.023982022756399515,0.22774125090443548,0.20681429371300672,98.88962499124493,99.18857368875805,97.07368224459962,94.40907990532456,103.40306912499197,94.40907990532456,97.70580994023848,0.0,130.1473304776071,7.2940251018096,1.5006275762223622,0.0,低,False,False,False
1091,0.07227343294780794,0.03422476545732547,0.0734342963653308,0.9552656104380244,缓和路径,1432.1492759986716,667.1589798123307,357.2932780811235,-0.33577666117127725,0.15885061842614379,1.65,0.17920061916183438,0.026069809743049222,0.27551115078661875,0.2480232974518455,90.65970173968377,90.216515300804,88.64899217688591,86.74106465736519,99.7450164957061,86.74106465736519,89.51934953219974,0.0,92.93092258884374,3.8402430034099355,0.8934288941147938,0.0,低,False,False,False
1092,0.9359107968442144,0.8696008848030741,0.0734342963653308,0.9552656104380244,高压尾部,1800.0,279.06808125347436,191.56392615638705,-0.11775294011621577,0.04741562690669126,2.9459413097571336,0.36,0.024649994532766784,0.12627461430531975,0.11928346326762257,118.32579420888166,110.15095553168159,110.42327051810297,109.61837585565,127.40814179381502,108.54504598299388,113.77295293563635,515.2942440616462,0.0,11.94130208087889,1.8787204346401214,17.084175096928902,高,True,False,True
1093,0.38041418186225695,0.39887007338576147,0.0734342963653308,0.9552656104380244,中性附近,1581.657747935999,486.0704535167549,297.2621617987398,-0.2701065958259851,0.10997263852971736,2.009555269047718,0.2719346685234314,0.024458259440077713,0.222264429374202,0.20208967927016752,96.39426657581514,97.35899426036808,95.48184348008742,93.11695693051873,103.32812352528485,93.03658639862451,95.82534193564186,0.0,164.45784315519725,6.619140619585088,1.3996383509791726,0.0,低,False,False,False
1094,0.19659955408482252,0.3306052614544435,0.0734342963653308,0.9552656104380244,缓和路径,1467.3602536627814,617.204260397347,340.85130477978015,-0.31328540960695683,0.14271813369516614,1.9586863954977194,0.2847048472007528,0.02410654721057101,0.25402759705414263,0.2294903750829764,96.27986074892277,95.89625396180496,93.95440268446458,91.81661591456415,102.15450811770114,91.81661591456415,94.91236052668171,0.0,50.13016479628532,6.5764545393624685,1.4194344750225256,0.0,低,False,False,False
1095,0.15004613444047588,0.23381343159224527,0.0734342963653308,0.9552656104380244,缓和路径,1502.4901671690866,623.2031297312448,351.2223683597006,-0.2985140534176664,0.16222256073296704,1.842655815285674,0.2742749517583828,0.02549992569290629,0.26207202796868573,0.23642995386484186,96.83749858255386,96.00558777252947,93.84274141037916,91.22003872381038,102.6544398902132,91.22003872381038,95.06056258966437,0.0,110.98380206631357,6.355993568239723,1.3674348223740365,0.0,低,False,False,False
1096,0.3152738514933513,0.29842000152372383,0.0734342963653308,0.9552656104380244,缓和路径,1526.69739255796,559.6929882245647,246.51326129631497,-0.29538653314478525,0.13006128430550673,1.9613684028990812,0.27688340633480873,0.029101012744651874,0.23352067846194888,0.2117999531431774,96.30857067272147,96.83929984751889,94.74686305017059,92.30882336758711,101.82855896177392,92.30882336758711,95.33612265902704,0.0,150.292144017132,6.8083345142202,1.3804396250274258,0.0,低,False,False,False
